stock_id,stock_name
6643,M31
6654,天正國際
6662,樂斯科
6669,緯穎
6670,復盛應用
6679,鈺太
6683,雍智科技
6691,洋基工程
6693,廣閎科
6706,惠特
6716,應廣
6719,力智
6728,上洋
6732,昇佳電子
6739,竹陞科技
6741,91APP-KY
6747,亨泰光
6755,龍德造船
6756,威鋒電子
6763,綠界科技*
6768,志強-KY
6770,力積電
6788,華景電
6789,采鈺
6799,來頡
6803,崑鼎
6805,富世達
8016,矽創
8027,鈦昇
8039,台虹
8046,南電
8048,德勝
8068,全達
8069,元太
8070,長華*
8074,鉅橡
8081,致新
8088,品安
8096,擎亞
8107,大億金茂
8111,立碁
8112,至上
8121,越峰
8150,南茂
8155,博智
8162,微矽電子
8163,達方
8182,加高
8210,勤誠
8249,菱光
8255,朋程
8261,富鼎
8271,宇瞻
8279,生展
8287,英格爾
8291,尚茂
8299,群聯
8342,益張
8354,冠好
8358,金居
8383,千附精密
8404,百和興業-KY
8422,可寧衛
8436,大江
8446,華研
8450,霹靂
8464,億豐
8467,波力-KY
8472,夠麻吉
8478,東哥遊艇
8481,政伸
8489,三貝德
8499,鼎炫-KY
8924,大田
8927,北基
8936,國統
8941,關中
8996,高力
9904,寶成
9907,統一實
9910,豐泰
9914,美利達
9917,中保科
9921,巨大
9933,中鼎
9938,百和
9945,潤泰新
9958,世紀鋼
9962,有益
9963,三洋實業
9964,百利
9965,鴻準投控
