stock_id,price_tier,ref_price,holding_status,strategy_bucket,action,pnl_pct
2330,gt_1000,2187.185,未持有,BUY_READY,BUY_READY,
2409,lt_50,17.2172,未持有,CANDIDATE,CANDIDATE,
