stock_id,stock_name,close,volume,turnover,date,liquidity_level,liquidity_tag,liquidity_score
1410,南染,27.55,51.003,1405132.65,2026-04-30,BLOCK,流動性不足,19.77
1413,宏洲,9.53,15.929,151803.37,2026-04-30,BLOCK,流動性不足,5.62
1414,東和,16.65,188.761,3142870.65,2026-04-30,BLOCK,流動性不足,35.39
1416,廣豐,11.4,187.318,2135425.2,2026-04-30,BLOCK,流動性不足,32.52
1417,嘉裕,8.85,140.061,1239539.85,2026-04-30,BLOCK,流動性不足,26.77
1418,東華,19.2,63.525,1219679.9999999998,2026-04-30,BLOCK,流動性不足,20.41
1419,新紡,64.4,131.676,8479934.4,2026-04-30,BLOCK,流動性不足,39.54
1423,利華,41.6,86.101,3581801.6,2026-04-30,BLOCK,流動性不足,30.25
1432,大魯閣,16.85,208.075,3506063.7500000005,2026-04-30,BLOCK,流動性不足,36.97
1434,福懋,15.9,894.493,14222438.700000001,2026-04-30,MEDIUM,中流動性,58.93
1435,中福,12.85,70.976,912041.6,2026-04-28,BLOCK,流動性不足,19.49
1436,華友聯,49.95,205.488,10264125.600000001,2026-04-30,BLOCK,流動性不足,44.58
1437,勤益控,29.65,103.472,3067944.8,2026-04-30,BLOCK,流動性不足,30.81
1438,三地開發,22.15,129.221,2862245.15,2026-04-30,BLOCK,流動性不足,31.7
1439,雋揚,26.55,40.051,1063354.05,2026-04-30,BLOCK,流動性不足,16.49
1440,南紡,12.65,1083.859,13710816.35,2026-04-30,MEDIUM,中流動性,60.15
1441,大東,10.05,85.895,863244.7500000001,2026-04-30,BLOCK,流動性不足,20.89
1442,名軒,26.2,925.843,24257086.599999998,2026-04-30,MEDIUM,中流動性,62.72
1443,立益物流,21.2,25.231,534897.2,2026-04-30,BLOCK,流動性不足,10.92
1444,力麗,6.11,1848.624,11295092.64,2026-04-30,MEDIUM,中流動性,62.57
1445,大宇,12.7,28.634,363651.8,2026-04-30,BLOCK,流動性不足,10.05
1446,宏和,15.8,166.428,2629562.4000000004,2026-04-30,BLOCK,流動性不足,33.18
1447,力鵬,4.99,978.173,4881083.2700000005,2026-04-30,MEDIUM,中流動性,52.57
1449,佳和,12.95,1174.41,15208609.5,2026-04-30,MEDIUM,中流動性,61.68
1451,年興,16.65,215.766,3592503.9,2026-04-30,BLOCK,流動性不足,37.35
1452,宏益,11.4,20.713,236128.2,2026-04-30,BLOCK,流動性不足,7.51
1453,大將,11.8,30.455,359369.0,2026-04-30,BLOCK,流動性不足,10.46
1454,台富,14.2,152.632,2167374.4000000004,2026-04-30,BLOCK,流動性不足,31.07
1455,集盛,8.15,878.365,7158674.75,2026-04-30,MEDIUM,中流動性,53.79
1456,怡華,13.7,38.759,530998.2999999999,2026-04-30,BLOCK,流動性不足,13.46
1457,宜進,14.45,165.791,2395679.9499999997,2026-04-30,BLOCK,流動性不足,32.6
1459,聯發,11.7,86.882,1016519.4,2026-04-30,BLOCK,流動性不足,22.01
1460,宏遠,6.98,559.483,3905191.34,2026-04-30,MEDIUM,中流動性,46.74
1463,強盛新,18.9,95.031,1796085.9000000001,2026-04-30,BLOCK,流動性不足,26.56
