date,stock_id,close,volume,source_type,stage,main_force_score,accumulation_score,control_score,structure_score,test_move_score,pre_breakout_score,note
2026-04-24,1446,16.0,331085,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1447,5.02,1669261,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1449,13.6,2413885,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1451,16.9,121529,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1452,11.55,84309,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1453,12.1,82678,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1454,13.8,323721,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1455,8.48,851804,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1456,13.8,73332,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1457,14.65,130365,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1459,11.65,114174,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1460,6.88,789042,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1463,17.95,1080016,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1464,10.2,342082,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1465,12.45,81366,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1466,17.0,289425,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1467,7.56,1304760,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1468,12.25,62002,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1470,22.6,3649,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1471,11.85,520313,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1472,94.4,3579,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1473,22.65,124270,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1474,10.1,95138,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1475,28.05,29019,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1476,338.5,1100817,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1477,217.0,1908308,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1503,191.0,1268215,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1504,61.0,4904774,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1506,10.9,113105,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1512,7.32,135222,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1513,149.5,5563468,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1514,112.5,1936508,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1515,22.55,273644,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1516,20.35,46112,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1517,10.65,189147,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1519,886.0,3447971,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1521,24.9,23202,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1522,31.3,861678,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1524,27.8,520682,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1525,60.8,34132,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1526,16.2,149656,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1527,32.45,182259,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1528,25.15,9719482,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1529,22.3,473380,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1530,26.8,19868,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1531,13.0,185728,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1532,21.1,685301,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1533,30.9,63479,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1535,51.5,43452,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1536,50.7,1780712,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1537,122.5,67394,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1538,13.3,1076,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1539,16.3,52594,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1540,20.4,366724,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1541,24.55,49110,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1558,91.7,114610,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1560,535.0,4181605,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1563,41.45,360199,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1568,27.8,947594,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1582,88.8,7874323,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1583,47.05,33822,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1587,33.85,416919,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1590,1360.0,2901321,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1597,108.5,2118130,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1598,19.9,292820,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1603,31.8,177743,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1604,23.0,690393,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1605,30.1,19273921,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1608,33.05,2109374,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1609,32.7,2495713,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1611,11.95,306928,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1612,35.0,563063,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1614,32.1,23996,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1615,46.7,65264,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1616,22.65,538870,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1617,15.65,115090,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1618,39.85,618774,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1623,240.0,338525,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1626,11.0,217732,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1702,35.85,189134,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1707,116.5,148735,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1708,41.05,8075542,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1709,18.65,453995,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1710,13.35,2282748,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1711,50.9,8632432,latest_price_panel_stock_snapshot,,,,,,,,
