date,stock_id,close,volume,open,high,low,ret1,mom3,mom5,mom10,mom20,mom60,ma5,ma10,ma20,ma60,vol20,vol_ma5,vol_ma20,volume_ratio,vol_dry_ratio,high_20,low_20,high_60,low_60,range_20,ma_max,ma_min,ma_converge_pct,ma20_slope,kd_k,kd_d,kd_cross,macd_diff,macd_signal,macd_hist,macd_cross,obv_proxy,obv_mom5,obv_up_count_3,low_non_down_count_3,obv_up_count_5,low_non_down_count_5,obv_up_count_10,low_non_down_count_10,price_tier,core_momentum_score,core_trend_score,core_volume_score,core_quality_score,core_raw_score,core_penalty,entry_score,strategy_type,action,action_label,action_sub,note
2026-09-21,3035,191.0,4394281,191.0,191.0,191.0,0.0026246719160105,0.100864553314121,0.1072463768115941,0.0670391061452513,0.1235294117647058,0.0,180.8,177.65,178.375,177.97619047619048,0.0293875011257098,3945025.2,2958243.9,1.4854356667480997,1.3335699602051063,191.0,169.5,191.0,169.5,0.1125654450255886,180.8,177.65,0.0164921465967723,0.0,77.66498515430796,56.206043136982686,0,2.680819069428736,1.5328697394813935,1.1479493299473424,0,24309078,2.385269411378056,3.0,3.0,4.0,4.0,7.0,7.0,100-300,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,20日強勢｜接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,3138,102.5,1019159,102.5,102.5,102.5,-0.0509259259259259,0.0778128286014721,0.1700913242009132,0.0950854700854701,0.1057173678532901,0.0,99.32,94.69,95.355,95.22857142857144,0.0393498366068167,1439912.6,459959.85,2.215756440480616,3.130518022388252,108.0,86.5,108.0,86.5,0.2097560975589292,99.32,94.69,0.0451707317068764,0.0,72.11774521407801,54.11583430766234,0,1.7395630905711954,0.3772761045970967,1.3622869859740987,0,4573633,-13.938287844841245,2.0,2.0,3.0,3.0,4.0,4.0,100-300,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,20日強勢｜接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,3443,7615.0,3187762,7615.0,7615.0,7615.0,0.065034965034965,0.2341977309562399,0.1898437500000001,0.283066554338669,0.4193849021435227,0.0,6694.0,6410.0,6163.25,6125.238095238095,0.0418492990852545,2343583.0,1988234.45,1.6033129292171748,1.1787256779501023,7615.0,5570.0,7615.0,5365.0,0.2685489166119148,6694.0,6163.25,0.0696979645436546,0.0,89.49559212462142,79.79625974336692,0,359.68049194915875,226.171294674464,133.50919727469474,0,14570959,1.00946427098759,3.0,3.0,4.0,4.0,7.0,7.0,1000以上,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,20日強勢｜接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,3665,2300.0,4506398,2300.0,2300.0,2300.0,0.0407239819004525,0.1528822055137844,0.1764705882352941,0.1111111111111111,0.1219512195121952,0.0,2099.0,2016.5,2076.5,2075.2380952380954,0.0477335623392656,3879401.4,3113691.95,1.4472844688441315,1.245916892966884,2315.0,1875.0,2315.0,1875.0,0.1913043478260037,2099.0,2016.5,0.0358695652173757,0.0,74.87024221532818,52.79922648959085,0,12.232691125222118,-9.54499059735085,21.777681722572968,0,17209385,-8.866708690989576,3.0,3.0,5.0,5.0,7.0,7.0,1000以上,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,20日強勢｜接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,4588,57.0,132669,57.0,57.0,57.0,0.0326086956521738,0.0382513661202186,0.0536044362292051,0.0940499040307101,0.1025145067698258,0.0,55.1,53.39,52.94499999999999,52.88571428571428,0.0203420232265791,93901.0,62548.15,2.121069927727645,1.501259429735308,57.0,50.6,57.0,50.6,0.1122807017524161,55.1,52.94499999999999,0.0378070175431965,0.0,90.52000504395004,74.49369619475067,0,0.8894649607564631,0.4113357636000581,0.478129197156405,0,539459,1.809126318749414,3.0,3.0,4.0,4.0,5.0,5.0,50-100,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,20日強勢｜接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,4770,257.5,1909144,257.5,257.5,257.5,0.0258964143426294,0.1678004535147392,0.1469933184855234,0.0774058577405858,0.25,0.0,238.2,236.9,227.25,226.23809523809524,0.0368527802732526,1184203.4,791485.95,2.4121009349565807,1.4961774116141902,257.5,206.5,257.5,206.0,0.1980582524264153,238.2,227.25,0.042524271844495,0.0,74.78219182374063,60.26331691223773,0,9.070350091263949,6.841555259395276,2.2287948318686714,0,8403621,1.7388060431136974,3.0,3.0,4.0,4.0,5.0,5.0,100-300,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,20日強勢｜接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,4771,219.0,365558,219.0,219.0,219.0,0.0186046511627906,0.0631067961165048,0.0735294117647058,0.0631067961165048,0.0922693266832916,0.0,212.7,209.55,209.65,209.2142857142857,0.0225090929154136,354172.0,271217.8,1.347839264237077,1.3058582438173258,219.0,201.5,219.0,200.5,0.0799086757987218,212.7,209.55,0.0143835616437698,0.0,83.2369269129135,65.39883321456634,0,2.5322288162188613,1.8159666972504744,0.7162621189683871,0,2566085,1.304643892222399,3.0,3.0,4.0,4.0,7.0,7.0,100-300,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,6205,70.0,1276548,70.0,70.0,70.0,0.0989010989010987,0.1363636363636362,0.1513157894736843,0.0736196319018405,0.1705685618729098,0.0,63.760000000000005,63.29,64.78999999999999,64.55238095238094,0.0367445321121702,476379.2,624394.7,2.044456815536708,0.7629456175717046,71.1,60.2,71.1,59.8,0.155714285712061,64.78999999999999,63.29,0.0214285714282652,0.0,63.03026338681499,38.85369315013946,0,0.6941671914109975,0.5946614305687706,0.0995057608422268,1,2466118,5.922902876263945,3.0,3.0,4.0,4.0,4.0,4.0,50-100,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,20日強勢｜接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,6239,292.5,27709326,292.5,292.5,292.5,0.0299295774647887,0.0655737704918033,0.0773480662983425,0.0446428571428572,0.0853432282003709,0.0,278.7,277.8,278.6,278.1666666666667,0.0249284930526115,15248664.4,14139032.5,1.95977525336334,1.0784800445150684,292.5,268.0,292.5,268.0,0.0837606837603974,278.7,277.8,0.0030769230769124,0.0,69.20887120570242,48.220782282371545,0,2.247220828657305,1.4397488488689534,0.8074719797883516,1,56527615,5.02567356505529,2.0,3.0,3.0,4.0,5.0,6.0,100-300,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,接近60日高｜中期多頭｜量能放大｜避開低價
2026-09-21,6257,250.5,28056800,250.5,250.5,250.5,0.0245398773006135,0.1928571428571428,0.1928571428571428,0.176056338028169,0.2683544303797469,0.0,227.0,219.55,215.05,214.2142857142857,0.0377463842937694,17944078.6,10917861.55,2.5698072714615066,1.6435524958639909,250.5,198.5,250.5,197.5,0.2075848303384926,227.0,215.05,0.0477045908181727,0.0,77.16096361637683,57.13448016305991,0,8.14045862280409,4.794147923085884,3.346310699718206,0,107499347,3.6016668922567305,3.0,3.0,4.0,4.0,6.0,6.0,100-300,29.0,20.0,20.0,20.0,89.0,0.0,89.0,CORE,BUY,買進,強勢主攻,20日強勢｜接近60日高｜中期多頭｜量能放大｜避開低價
