date,nav,ret
2015-04-01,999641.8098568099,0.0
2015-04-02,999097.1170509515,-0.0005448879793618078
2015-04-06,998918.1836812429,-0.00017909507159497018
2015-04-07,999134.9392514185,0.00021699031383803913
2015-04-08,999134.9392514185,0.0
2015-04-09,998955.9991079401,-0.0001790950715950812
2015-04-10,999026.365075215,7.043950618212946e-05
2015-04-13,992384.1486429564,-0.006648689828880117
2015-04-14,994678.4658427178,0.0023119244728957433
2015-04-15,1002824.9180744977,0.008190035786969752
2015-04-16,1013202.9654273666,0.010348812804527707
2015-04-17,1015752.9139502505,0.0025167203510980674
2015-04-20,993202.0330540527,-0.022201148120262526
2015-04-21,957357.9053128128,-0.03608946271587954
2015-04-22,974409.1380367887,0.017810719094030425
2015-04-23,987682.9286286912,0.013622399538089525
2015-04-24,1001346.7515514807,0.013834219997869601
2015-04-27,1022587.1411886752,0.021211822582222206
2015-04-28,1018792.236401385,-0.0037110820529963062
2015-04-29,1029982.4434670331,0.010983796956653746
2015-04-30,1040154.4088480619,0.009875862880525332
2015-05-01,29763.35489457467,-0.9713856379001108
2015-05-04,29755.793064790458,-0.0002540651015652262
2015-05-05,29676.206752349404,-0.0026746493453480014
2015-05-06,29453.406688426905,-0.0075077002186224595
2015-05-07,28384.1361023051,-0.03630380001312217
2015-05-08,27826.73773002157,-0.019637672616650947
2015-05-11,27717.627785370874,-0.003921046933682781
2015-05-12,28042.225384946963,0.011710872304426134
2015-05-13,27999.461464067666,-0.0015249831385441004
2015-05-14,27953.459277367707,-0.0016429668391656493
2015-05-15,27647.176768995923,-0.010956873184556515
2015-05-18,27621.104972398804,-0.0009430184070858827
2015-05-19,27564.544350414802,-0.002047732052737228
2015-05-20,27682.459380266613,0.004277779032107798
2015-05-21,27776.10327969874,0.003382788290077876
2015-05-22,27844.031801149293,0.002445574196154432
2015-05-25,28110.62141591114,0.00957438982492631
2015-05-26,28117.980733748725,0.0002617984756971836
2015-05-27,28730.241340012653,0.021774700397637625
2015-05-28,29723.813124534605,0.03458278587928887
2015-05-29,29873.5362079415,0.005037142535501582
2015-06-01,30595.860143514565,0.024179391771538716
2015-06-02,31017.56277782804,0.013782996534021708
2015-06-03,30263.309955880723,-0.024316959631866086
2015-06-04,29204.10902343682,-0.03499950712556077
2015-06-05,29325.382279069432,0.004152609330943413
2015-06-08,30124.91726640584,0.027264264783585235
2015-06-09,29143.77990607623,-0.03256896447724811
2015-06-10,29185.115549740087,0.0014183350202709999
2015-06-11,29831.745049330573,0.022156139779143214
2015-06-12,29768.354944455303,-0.002124921112407141
2015-06-15,29605.660922075247,-0.005465334671117206
2015-06-16,29296.741195970884,-0.01043448166610661
2015-06-17,29028.274313319554,-0.00916371144679573
2015-06-18,28839.80732493091,-0.006492531603994323
2015-06-19,1162.9866242142862,-0.9596742581837941
2015-06-22,1162.899435072214,-7.497002997014501e-05
2015-06-23,1160.0805308277302,-0.002424030969030988
2015-06-24,1164.1475191602317,0.0035057810422864932
2015-06-25,1155.4564912227645,-0.00746557269970094
2015-06-26,1164.3523446212303,0.007698994696937245
2015-06-29,1135.2938959663556,-0.024956748521279826
2015-06-30,1167.3395491548622,0.02822674666213154
2015-07-01,1182.1567679478962,0.012693152394058327
2015-07-02,1189.5083970143003,0.006218827541093042
2015-07-03,1197.9394724381323,0.0070878654114541195
2015-07-06,1171.2657215694496,-0.02226635942999211
2015-07-07,1144.3699747745327,-0.022962976120292966
2015-07-08,1064.7742895714043,-0.06955415377689422
2015-07-09,1074.884537667585,0.009495203063411894
2015-07-10,1072.3103225313698,-0.002394875957375864
2015-07-13,1077.8178421626885,0.005136124791111918
2015-07-14,1053.0871097137538,-0.022945187471856476
2015-07-15,1047.1950106383779,-0.005595072830183456
2015-07-16,1051.3147379509812,0.003934059340191087
2015-07-17,1045.4550657869868,-0.005573661200084512
2015-07-20,1004.4194300063856,-0.0392514581673683
2015-07-21,987.3827103941255,-0.016961758308629893
2015-07-22,966.6780775431025,-0.020969207413768176
2015-07-23,941.88017973951,-0.025652694914338525
2015-07-24,936.580447603992,-0.005626758317585301
2015-07-27,900.4848681363511,-0.03853975337621285
2015-07-28,897.6161572827525,-0.003185740210755239
2015-07-29,914.1489530129347,0.01841855852977292
2015-07-30,907.5711304358482,-0.007195569776026867
