signal_date,trade_date,market_rows,candidate_rows,selected_count,breadth,avg_mom_5d,gross_exposure,cash_mode,risk_on
2026-01-09,2026-01-12,262,0,0,0,0.0,0.0,True,False
2026-01-12,2026-01-13,263,0,0,0,0.0,0.0,True,False
2026-01-13,2026-01-14,263,0,0,0,0.0,0.0,True,False
2026-01-14,2026-01-15,263,0,0,0,0.0,0.0,True,False
2026-01-15,2026-01-16,264,0,0,0,0.0,0.0,True,False
2026-01-16,2026-01-19,263,231,12,179,0.04411151320785698,0.8,False,True
2026-01-19,2026-01-20,263,233,12,180,0.04896288300343799,0.8,False,True
2026-01-20,2026-01-21,263,233,12,156,0.0473100627524707,0.8,False,True
2026-01-21,2026-01-22,264,234,12,105,0.021911791975939607,0.35,True,False
2026-01-22,2026-01-23,264,235,12,108,0.017781291501803447,0.35,True,False
2026-01-23,2026-01-26,262,232,12,95,0.005648470727706113,0.35,True,False
2026-01-26,2026-01-27,264,235,12,98,0.004452015688013209,0.35,True,False
2026-01-27,2026-01-28,263,235,12,113,0.004816032917001954,0.35,True,False
2026-01-28,2026-01-29,263,234,12,140,0.01357049863637202,0.35,True,False
2026-01-29,2026-01-30,264,235,12,113,0.004288305563024532,0.35,True,False
2026-01-30,2026-02-02,263,234,12,78,-0.007527563142810229,0.35,True,False
2026-02-02,2026-02-03,263,233,12,42,-0.03893551656016409,0.35,True,False
2026-02-03,2026-02-05,264,233,12,31,-0.03195560012342076,0.35,True,False
2026-02-05,2026-02-06,262,232,12,41,-0.031670544469923456,0.35,True,False
2026-02-06,2026-02-09,263,232,12,29,-0.040042685850172254,0.35,True,False
2026-02-09,2026-02-10,261,232,12,57,-0.021684921795288036,0.35,True,False
2026-02-10,2026-02-11,264,236,12,118,-0.0004063485664761074,0.35,True,False
2026-02-11,2026-02-23,264,235,12,132,0.000921073184848033,0.35,True,False
2026-02-23,2026-02-24,264,237,12,161,0.01379263602789283,0.35,True,False
2026-02-24,2026-02-25,264,234,12,189,0.035870093537634186,0.8,False,True
2026-02-25,2026-02-26,264,236,12,184,0.03565318248164204,0.8,False,True
2026-02-26,2026-03-02,264,237,12,179,0.03787822844229573,0.8,False,True
2026-03-02,2026-03-03,264,235,12,159,0.029393603320381354,0.35,True,False
2026-03-03,2026-03-04,264,237,12,74,-0.0017284763920572671,0.35,True,False
2026-03-04,2026-03-05,264,232,12,27,-0.044811739157424806,0.35,True,False
2026-03-05,2026-03-06,264,233,12,27,-0.035038125710289546,0.35,True,False
2026-03-06,2026-03-09,264,235,12,43,-0.0276388229803226,0.35,True,False
2026-03-09,2026-03-10,264,234,12,26,-0.05759523641907382,0.35,True,False
2026-03-10,2026-03-11,264,236,12,29,-0.03899493069336676,0.35,True,False
2026-03-11,2026-03-12,263,235,12,157,0.017932600078050944,0.35,True,False
2026-03-12,2026-03-13,264,233,12,97,0.0011385096068870736,0.35,True,False
2026-03-13,2026-03-16,264,233,12,74,-0.008895208336806947,0.35,True,False
2026-03-16,2026-03-17,264,234,12,155,0.033846080904972195,0.8,False,True
2026-03-17,2026-03-18,264,236,12,161,0.037315037637758605,0.8,False,True
2026-03-18,2026-03-19,264,236,12,132,0.02279877242215506,0.35,True,False
2026-03-19,2026-03-20,264,235,12,118,0.018553652408230974,0.35,True,False
2026-03-20,2026-03-23,264,236,12,130,0.0204322176069311,0.35,True,False
2026-03-23,2026-03-24,264,235,12,67,-0.00394419588498906,0.35,True,False
2026-03-24,2026-03-25,263,235,12,55,-0.01885666884991066,0.35,True,False
2026-03-25,2026-03-26,264,236,12,59,-0.01649185866663296,0.35,True,False
2026-03-26,2026-03-27,264,235,12,91,-0.01039417800432583,0.35,True,False
2026-03-27,2026-03-30,264,235,12,87,-0.009428465686465937,0.35,True,False
2026-03-30,2026-03-31,265,235,12,117,0.003257653716951508,0.35,True,False
2026-03-31,2026-04-01,265,234,12,74,-0.011533428622548119,0.35,True,False
2026-04-01,2026-04-02,265,234,12,91,-0.005252506625145576,0.35,True,False
2026-04-02,2026-04-07,265,234,12,68,-0.012940572673464379,0.35,True,False
2026-04-07,2026-04-08,264,234,12,76,-0.014809980552493308,0.35,True,False
2026-04-08,2026-04-09,263,234,12,132,0.00404523205021574,0.35,True,False
