engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret,capital_after_trade,cash_mode
A,2026-01-16,2026-01-19,1464,TWSE,11.85,0.0627802690582959,0.0078101990566649,0.0042194092827005,0.1150252009365795,0.0301941152458521,0.0001274013301512,101152.98893828593,True
A,2026-01-16,2026-01-19,1475,TWSE,33.5,0.0567823343848581,0.0083981461072316,-0.0208955223880598,0.0813824017176102,0.0213628804508726,-0.0004463885467346,101152.98893828593,True
A,2026-01-16,2026-01-19,1717,TWSE,67.3,0.3093385214007782,0.0436658626983665,0.0445765230312036,0.0893418360116143,0.0234522319530487,0.0010454189577882,101152.98893828593,True
A,2026-01-16,2026-01-19,1783,TWSE,46.6,0.0390189520624302,0.0053339355522429,0.0128755364806867,0.0952634891154546,0.0250066658928068,0.0003219742389631,101152.98893828593,True
A,2026-01-16,2026-01-19,2104,TWSE,12.0,0.0958904109589042,0.0119382892040491,0.0416666666666667,0.1148516049034284,0.0301485462871499,0.0012561894286312,101152.98893828593,True
A,2026-01-16,2026-01-19,2302,TWSE,19.1,0.0790960451977402,0.0087629515863748,0.0732984293193717,0.1450372601350664,0.0380722807854549,0.0027906383821799,101152.98893828593,True
A,2026-01-16,2026-01-19,2312,TWSE,33.7,0.4780701754385965,0.0390521463363239,0.0504451038575666,0.2667868600818114,0.0700315507714754,0.0035327488519735,101152.98893828593,True
A,2026-01-16,2026-01-19,2371,TWSE,38.85,0.2451923076923077,0.0340498160554525,0.0334620334620334,0.092311347098435,0.0242317286133391,0.0008108429137024,101152.98893828593,True
A,2026-01-19,2026-01-20,1528,TWSE,31.15,0.3875278396436525,0.0480909852488687,0.0176565008025681,0.1079632409112614,0.0283403507392061,0.0005003914255718,100786.74908384544,True
A,2026-01-19,2026-01-20,1721,TWSE,22.05,0.4364820846905537,0.0389518866103557,-0.0544217687074829,0.2087725013696739,0.0548027816095394,-0.002982464305281,100786.74908384544,True
A,2026-01-19,2026-01-20,1783,TWSE,47.2,0.0407938257993385,0.0056594181724415,-0.0158898305084745,0.0863858510880675,0.0226762859106177,-0.0003603223396814,100786.74908384544,True
A,2026-01-19,2026-01-20,1789,TWSE,27.1,0.145877378435518,0.0179672134878413,0.0424354243542435,0.1096003298361454,0.0287700865819881,0.0012208708328149,100786.74908384544,True
A,2026-01-19,2026-01-20,2104,TWSE,12.5,0.1013215859030838,0.0139288224382876,-0.0159999999999999,0.0879776904374496,0.0230941437398305,-0.0003695062998372,100786.74908384544,True
A,2026-01-19,2026-01-20,2241,TWSE,37.3,0.0890510948905107,0.0096624152677086,-0.0227882037533511,0.1412226985479674,0.0370709583688414,-0.0008447805526411,100786.74908384544,True
A,2026-01-19,2026-01-20,2312,TWSE,35.4,0.4131736526946106,0.0398095558520299,-0.0127118644067795,0.1790968793543681,0.0470129308305216,-0.0005976220020828,100786.74908384544,True
A,2026-01-19,2026-01-20,2371,TWSE,40.15,0.2372881355932201,0.0344281714348633,0.0647571606475716,0.0789808084550664,0.0207324622194549,0.0013425753865649,100786.74908384544,True
A,2026-01-20,2026-01-21,1474,TWSE,10.45,0.0346534653465346,0.0044761161118452,-0.0047846889952152,0.0686794626406329,0.0180283589431661,-8.626009063715706e-05,100981.00400028584,True
