date,count,avg_ret
2026-01-16,3,0.016931591378407013
2026-01-19,5,-0.0005461720802607539
2026-01-20,3,-0.007783158436022101
2026-01-21,8,0.004534394919581908
2026-01-22,8,-0.0005087446153949904
2026-01-23,8,0.002111358561115703
2026-01-26,8,-0.011849449024595726
2026-01-27,8,0.013240069710694038
2026-01-28,8,-0.015420493770645818
2026-01-29,8,-0.02922004764982901
2026-01-30,8,-0.02392818297544179
2026-02-02,8,0.020456264245099248
2026-02-03,8,-0.004855606872933682
2026-02-05,8,-0.03372030094440703
2026-02-06,8,0.02811955321548318
2026-02-09,8,-0.007618087377838367
2026-02-10,8,-0.0022556214768793964
2026-02-11,8,0.033108201093412226
2026-02-23,8,0.011393819362680094
2026-02-24,8,-0.007220211388905329
2026-02-25,8,-0.019376417278271066
2026-02-26,8,-0.015913970843758493
2026-03-02,8,-0.0225298345327688
2026-03-03,8,-0.052322967929220074
2026-03-04,8,0.00683824720224889
2026-03-05,8,-0.0023439633050559155
2026-03-06,8,-0.05491779904643787
2026-03-09,8,0.033012492839122595
2026-03-10,8,0.05101626969763215
2026-03-11,8,-0.014077976301658149
2026-03-12,8,0.00035152867989793335
2026-03-13,8,-0.0009932301722268
2026-03-16,8,0.0047296835536495
2026-03-17,8,-0.0021568528929600678
2026-03-18,8,-0.02605429060189625
2026-03-19,8,-0.0022640051912020953
2026-03-20,8,-0.02580496813256085
2026-03-23,8,-0.006744361171493185
2026-03-24,8,0.014448152646155399
2026-03-25,8,-0.022942314954525186
2026-03-26,8,0.009631321524847233
2026-03-27,8,-0.013568016696148544
2026-03-30,8,-0.034449527565920776
2026-03-31,8,0.010688982609202313
2026-04-01,8,-0.014940257163875911
2026-04-02,8,-0.009047677339104637
2026-04-07,8,0.01758689802976733
2026-04-08,8,0.0037225939112578987
