mode,window,start_date,end_date,return,ann_return,sharpe,mdd,trading_days,avg_holdings,avg_raw_exposure,avg_exposure,score
base_03_08,full_sample,2026-01-19,2026-04-09,0.028985280174437467,0.16184475363990036,3.4323918756186664,-0.005930609607678106,48,4.0,0.15312499999999982,0.6229166666666667,6.887838421804092
full_10,full_sample,2026-01-19,2026-04-09,0.03199876906864052,0.1798198296146314,2.939401312401006,-0.01118998464996035,48,4.0,0.15312499999999982,1.0,5.899611409220692
fixed_08,full_sample,2026-01-19,2026-04-09,0.025569895496985406,0.14174110441348708,2.9394013124010065,-0.00895991491633008,48,4.0,0.15312499999999982,0.7999999999999999,5.895412605382669
fixed_05,full_sample,2026-01-19,2026-04-09,0.015953631438776705,0.0866455524680747,2.939401312401006,-0.005607386826712246,48,4.0,0.15312499999999982,0.5,5.889148869414076
fixed_03,full_sample,2026-01-19,2026-04-09,0.009561056924020539,0.05122600437155511,2.939401312401006,-0.003367411403118248,48,4.0,0.15312499999999982,0.3,5.884996270322914
tri_02_05_08,full_sample,2026-01-19,2026-04-09,0.026716359107510357,0.14845776864236226,3.2069320095370992,-0.005930609607678106,48,4.0,0.15312499999999982,0.5375,6.4346497685740305
