engine,rows,symbols,avg_trade_ret,win_rate,loss_rate,avg_wret
A,384,138,-0.00042211092860249466,0.4609375,0.5130208333333334,0.0002363801126257569
B,192,96,0.0009542798073021962,0.4635416666666667,0.5,0.00016569833927680645
