mode,engines,start_date,end_date,initial_capital,final_nav,total_return,ann_return,trading_days,nonzero_ret_days,avg_holdings,avg_exposure,cash_days,sharpe,mdd,trade_rows
A_only,A,2026-01-19,2026-04-09,100000.0,108777.66842767665,0.08777668427676644,0.5553698114236874,48,48,8.0,0.45937499999999964,20,1.8092506916833941,-0.06233743375124334,384
B_only,B,2026-01-19,2026-04-09,100000.0,103199.87690686405,0.03199876906864052,0.1798198296146314,48,48,4.0,0.15312499999999982,48,2.939401312401006,-0.01118998464996035,192
AB,"A,B",2026-01-19,2026-04-09,100000.0,112003.01712063409,0.12003017120634096,0.8132431245773992,48,48,9.604166666666666,0.6124999999999994,20,2.0714250125683478,-0.0688705027527523,576
