stock_id,stock_name,position_action,position_reason,position_hint,take_profit_hint,chip_hint,risk_flag,avg_price,shares,lots,close,ma5,ma20,ma5_status,ma20_status,pnl_pct,chip_score,chip_label,chip_reason,strategy_stage,main_force_phase,distribution_stage,profit_exit_status,lifecycle_hold_action,lifecycle_reason,price_source,chip_source,position_source,updated_at,behavior_hint,behavior_confidence,behavior_action_hint,date,name,market,open,high,low,volume,ret1,mom3,mom5,mom10,mom20,mom60,ma10,ma60,vol20,vol_ma5,vol_ma20,volume_ratio,vol_dry_ratio,high_20,low_20,high_60,low_60,range_20,ma_max,ma_min,ma_converge_pct,ma20_slope,kd_k,kd_d,kd_cross,macd_diff,macd_signal,macd_hist,macd_cross,obv_proxy,obv_mom5,obv_up_count_3,low_non_down_count_3,obv_up_count_5,low_non_down_count_5,obv_up_count_10,low_non_down_count_10,history_count,has_60d_history,turnover,liquidity_score,liquidity_level,liquidity_tag,strategy_type,strategy_name,entry_score,action,action_label,action_sub,note,attack_score_v309,attack_score_v310,attack_score_v312,final_attack_score_v309,final_attack_score_v310,final_attack_score_v312,trend_ok_v310,momentum_ok_v310,breakout_ok_v310,volume_ok_v310,chip_ok_v310,strict_test_ok_v310,watch_ok_v310,hard_reject_v309,hard_reject_v310,hard_reject_v312,hard_reject_v313,hard_block_v313,soft_reject_v313,short_turn_weak_v309,ma_sticky_no_attack_v309,box_middle_v309,liquidity_only_v309,bottom_repair_only_v310,final_sort_score_v309,final_sort_score_v310,final_sort_score_v312,v311_locked_action,priority,top_opportunity,section_top_opportunity,opportunity_rank,top_reason,top_rank_v3066,is_top_v3066,strategy_layer,strategy_bucket,engine,entry_type,system_note,reason,source,continuation_score,continuation_grade,continuation_reason,fake_breakout_risk,fake_breakout_reason,next_day_follow_hint,continuation_patch_version,structure_20_score,structure_40_score,structure_60_score,structure_score,structure_grade,structure_type,structure_reason,structure_market_fit,structure_hint,structure_patch_version,structure_pre_score,structure_pre_grade,structure_pre_type,structure_pre_reason,structure_pre_hint,structure_pre_patch_version,adjusted_signal_score,adjusted_signal_note,structure_rank,continuation_quality_score,continuation_quality_grade,continuation_quality_type,continuation_quality_reason,continuation_quality_hint,continuation_quality_patch_version,adjusted_signal_score_v26657_7,structure_weight_v26657_7,continuation_weight_v26657_7,strategy_bucket_v26657_7,adjusted_signal_note_v26657_7,structure_rank_v26657_7,_source_file_v53,signal_date,trade_date,industry,layer,bucket,price,ref_price,target_weight,suggest_amount,suggest_shares,score,final_action,ignition_phase,execution_flag,fake_score,fake_risk_tag,fake_risk_level,fake_flags,fake_reason_zh,ignition_hint_zh,operation_advice_zh,evolution_score,evolution_phase,_v53_stage_lock,_v53_stage_score,allowed,suggested_amount,opportunity_score,chip_display,chip_valid_count,chip_missing,chip_confidence,main_force_gate_v302,main_force_score_v302,chip_trace_v302,obv_trace_v302,attack_structure_v302,volume_start_v302,not_overheat_v302,signal_stage_v303,signal_stage_rank_v303,ignition_score_v303,evolution_score_v303,stage_reason_v303,test_rank_score_v304,test_rank_v304,test_top_tag_v304,test_rank_reason_v304,section_opportunity_rank,final_attack_score_final_v309,final_sort_score_final_v309,hard_reject_final_v309,foreign_net_buy,trust_net_buy,dealer_net_buy,inst_net_buy,inst_buy_days,inst_valid,margin_balance_change,short_balance_change,stock_name_chip_src,foreign_net_buy_chip_src,trust_net_buy_chip_src,dealer_net_buy_chip_src,inst_net_buy_chip_src,inst_buy_days_chip_src,inst_valid_chip_src,margin_balance,short_balance,margin_balance_change_chip_src,short_balance_change_chip_src,margin_valid,chip_market,refresh_mode,ma10_status,ma5_label,ma10_label,ma20_label,kbar_type,k_structure,kline_structure,tech_reason,kbar_reason,tech_decision_hint
2317,鴻海,🟡 觀察,已有獲利 14.41%，但籌碼或短線強度不足。,不建議加碼，若跌破五日線可先分批停利。,已達初步停利區，若沒有資金延續，先保守看待。,籌碼偏集中，仍有資金支撐；若短線未轉弱，可續抱觀察。,PROFIT_WATCH,229.0,1000.0,1.0,262.0,263.9,251.475,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,14.41,70.0,🟢 偏集中,三大法人買超｜外資買超｜投信賣超｜自營商買超,NONE,⚪ 未進入五大清單,🟢 尚未進入明顯派發,🟡 已進入獲利保護區：尚未完整出場，改用移動停利,🟡 獲利保護 / 移動停利,持倉生命週期：NONE；主力/派發判讀：🟢 尚未進入明顯派發；獲利出場狀態：🟡 已進入獲利保護區：尚未完整出場，改用移動停利。,price_panel_daily.csv + feature_panel_daily.csv,chip_source_twse.csv,manual_positions.csv,2026-08-13 20:26:29,⚪ 行為中性（依策略判斷）,中低,目前訊號不夠明確，依原策略與風控執行。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA10：依策略判斷,MA5：貼近｜→ 盤整,MA10：依策略判斷,MA20：站上｜↑ 強勢,依策略判斷K,依策略結構,依策略結構,MA5：貼近｜→ 盤整｜MA10：依策略判斷｜MA20：站上｜↑ 強勢｜K棒：依策略判斷K｜K線：依策略結構,K棒型態：依策略判斷K｜K線結構：依策略結構,依原策略執行，技術欄位用於確認節奏與風險。
2330,台積電,🟠 停利觀察,獲利已達 368.27%，但短線或籌碼出現轉弱跡象。,建議分批停利，保留部分部位觀察。,高獲利區出現轉弱，不要把獲利全部吐回去，先收一部分。,籌碼偏分散，資金共識不足；若跌破五日線或 MA20，建議減碼控風險。,TAKE_PROFIT_20_WEAK,520.0,1000.0,1.0,2435.0,2399.0,2354.5,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,368.27,34.0,⚠️ 分散,三大法人賣超｜外資賣超｜投信買超｜自營商買超,FINAL,🔥 主升拉升確認,🟡 派發初期：漲不動或籌碼轉弱,🟠 部分獲利出場：建議先分批收，保留小部位觀察,🟡 停利觀察 / 不追價,觸發停損 -6.44% | 損益 -6.44% | 均價 2330.0 | 張數 1.0,price_panel_daily.csv + feature_panel_daily.csv,chip_source_twse.csv,manual_positions.csv,2026-08-13 20:26:29,⚪ 行為中性（依策略判斷）,中低,目前訊號不夠明確，依原策略與風控執行。,2026-08-13,台積電,TWSE,2440.0,2445.0,2425.0,26233385.0,0.0082815734989647,0.0231092436974789,0.029598308668076,0.1043083900226757,-0.0141700404858299,0.1043083900226757,2388.0,2367.5,0.0343268312661888,21968277.2,39043897.85,0.671894622324446,0.5626558414940633,2445.0,2180.0,2535.0,2180.0,0.1088295687884563,2399.0,2354.5,0.0182751540040992,-0.0040186125211488,86.40513410488875,78.85336466388911,0,7.585088131093926,-2.8865653723246663,10.471653503418592,0,3225214426.0,0.0352578598420432,3.0,2.0,5.0,3.0,7.0,6.0,2823,True,63878292475000.0,98.62,HIGH,高流動性,ALPHA,ALPHA Trend Momentum,82.0,WATCH,觀察,v316鎖定：TEST過多，降為準攻擊觀察,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,131.0,131.0,131.0,131.0,131.0,131.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,121.2,121.2,121.2,WATCH,2,,,,,9999,0,預備觀察,等待確認,ALPHA,準攻擊觀察,v316鎖定：TEST過多，降為準攻擊觀察｜續強提示：🟢 續強機率較高：可保留試單／優先觀察是否延續。｜結構提示：偏長底翻多：適合CORE早期卡位，小倉觀察放量確認。｜前置結構：平台壓縮後轉強，可優先觀察起漲/試單。｜v266.57.7：結構：平台壓縮後轉強，可優先觀察起漲/試單。｜續強：回檔承接尚可，若原策略入選，可優先觀察延續。,v316鎖定：TEST過多，降為準攻擊觀察,v313_watch_layer_final_lock,8.0,強,5日高點墊高、5日低點未破、MA5站上MA10、收盤站上MA20、5日動能為正、10日動能為正、量能高於近期中位,低,收黑K,🟢 續強機率較高：可保留試單／優先觀察是否延續。,v266.57.2,8.0,6.0,9.0,8.35,強,60D長底翻多,20D:站上MA20、MA5>=MA10、接近20日高、10D動能轉正、未嚴重乖離MA20｜40D:40D區間收斂、均線糾結、站回平台成本｜60D:接近/站回MA60、MA20接近MA60、站回60D區間中上、60D低點守住、60D動能不再惡化,弱勢/空頭盤：偏重60D大結構防守｜總經偏多：結構分數小幅加權,偏長底翻多：適合CORE早期卡位，小倉觀察放量確認。,v266.57.5.1,11.6,A,起漲結構強,20D站上MA20｜MA5站上MA10｜接近20日高｜40D平台收斂｜短中均線糾結｜接近/站回MA60｜MA60不再下彎｜站回60D區間中上｜近5日量縮｜5D動能轉正｜10D動能轉正,平台壓縮後轉強，可優先觀察起漲/試單。,v266.57.6,86.06,原分數欄位:entry_score｜結構前置加權僅供排序觀察，不覆蓋原策略,202.0,8.2,A,續強品質強,回檔不破前低｜收盤守MA5｜回檔量縮｜MA5仍在MA10上｜仍站MA20｜10D動能維持,回檔承接尚可，若原策略入選，可優先觀察延續。,v266.57.7,92.21,0.35,0.75,ALPHA,測試排序分=原分數+結構前置分*策略權重+續強品質*策略權重；不覆蓋原策略,202.0,candidates.csv,2026-08-13,2026-08-14,,,TEST,,,,,,42,TEST,,SELL,,,,,,,,,,TEST,42,True,2180000.0,0.0,35（⚠️ 分散）,1,部分籌碼資料有限,📉 低信心,0,78,1,1,0,0,1,,,105,143,,,,,,,,,,-21182649.0,596042.0,743518.0,-19843089.0,0.0,1,0.0,0.0,台積電,-21182649.0,596042.0,743518.0,-19843089.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
2409,友達,🟠 停利觀察,獲利已達 35.53%，但短線或籌碼出現轉弱跡象。,建議分批停利，保留部分部位觀察。,高獲利區出現轉弱，不要把獲利全部吐回去，先收一部分。,籌碼極度分散，續抱信心低；若有獲利優先停利，若虧損則嚴格控風險。,TAKE_PROFIT_20_WEAK,19.0,3000.0,3.0,25.75,25.93,24.96,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,35.53,14.0,❌ 極度分散,三大法人賣超｜外資賣超｜投信賣超｜自營商買超,FINAL,🔥 主升拉升確認,🟠 派發中期：高獲利區跌破 MA5，先分批收,✅ 完整獲利出場條件成立：高獲利區轉弱，應優先收完或大幅降倉,🟠 分批停利 / 降倉,觸發停損 -8.95% | 跌破 MA20 | 5日動能轉弱 | 損益 -8.95% | 均價 19.0 | 張數 3.0,price_panel_daily.csv + feature_panel_daily.csv,chip_source_twse.csv,manual_positions.csv,2026-08-13 20:26:29,⚪ 行為中性（依策略判斷）,中低,目前訊號不夠明確，依原策略與風控執行。,,,,26.55,26.9,25.75,128429176.0,,,0.0488798370672096,0.1599099099099099,-0.0687160940325496,0.3446475195822456,25.12,26.105,0.0422401718098777,,,0.6753541856436402,,27.9,22.0,34.45,,0.2291262135833348,,,0.0376699029111584,-0.0283211678821091,,,,,,,,,-0.0149975523188278,,,2.0,4.0,,,,,3307051282000.0,97.78,HIGH,高流動性,POSITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SELL,持倉風控：必須優先處理出場｜風險 MEDIUM,觸發停損 -8.95% | 跌破 MA20 | 5日動能轉弱 | 損益 -8.95% | 均價 19.0 | 張數 3.0,EXIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-13,2026-08-14,,,POSITION,,,,,,100,SELL,,SELL,,,,,,,,,,,,True,51900.0,0.0,15（❌ 極度分散）,1,部分籌碼資料有限,📉 低信心,0,8,0,0,0,0,1,,,-9,19,,,,,,,,,,-19189539.0,-12000.0,1399870.0,-17801669.0,0.0,1,0.0,0.0,友達,-19189539.0,-12000.0,1399870.0,-17801669.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,跌破型K棒,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：跌破型K棒｜K線：多頭排列,K棒型態：跌破型K棒｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
3051,力特,🟢 抱住,獲利已達 23.16%，且短線與籌碼尚未明顯轉弱。,續抱，但必須用五日線或移動停利保護獲利。,已進入高獲利區，若跌破五日線或籌碼轉弱，優先分批停利。,籌碼偏集中，仍有資金支撐；若短線未轉弱，可續抱觀察。,PROFIT_STRONG_HOLD,19.0,2000.0,2.0,23.4,23.2,22.5,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,23.16,78.0,🟢 偏集中,三大法人買超｜外資買超,FINAL,🔥 主升拉升確認,🟢 尚未進入明顯派發,🟡 已進入獲利保護區：尚未完整出場，改用移動停利,🔥 主升續抱 / 可評估分批加碼,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,price_panel_daily.csv + feature_panel_daily.csv,chip_source_twse.csv,manual_positions.csv,2026-08-13 20:26:29,⚪ 行為中性（依策略判斷）,中低,目前訊號不夠明確，依原策略與風控執行。,2026-08-13,力特,TWSE,23.75,23.95,23.25,534770.0,0.0064516129032257,0.004291845493562,0.0308370044052863,0.1498771498771496,-0.027027027027027,-0.0677290836653388,22.695,25.613333333333333,0.0308796155718425,551771.0,592657.9,0.902324933152834,0.931010959273468,23.95,20.0,31.4,20.0,0.1688034187962049,23.2,22.5,0.0299145299132513,-0.0119661872867728,80.53895520802459,75.32182538129688,0,-0.5059685605397064,-0.8373535811227196,0.3313850205830132,0,593708363.0,0.0036323592385381,2.0,3.0,4.0,5.0,7.0,9.0,2823,True,12513618000.0,55.98,HIGH,高流動性,ALPHA,ALPHA Trend Momentum,66.0,WATCH,觀察,v316鎖定：TEST過多，降為準攻擊觀察,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,129.0,129.0,129.0,129.0,129.0,129.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,116.4,116.4,116.4,WATCH,2,,,,,9999,0,預備觀察,等待確認,ALPHA,準攻擊觀察,v316鎖定：TEST過多，降為準攻擊觀察｜續強提示：🟢 續強機率較高：可保留試單／優先觀察是否延續。｜結構提示：結構證據不足：原策略若入選，仍需降低信心。｜前置結構：平台壓縮後轉強，可優先觀察起漲/試單。｜v266.57.7：結構：平台壓縮後轉強，可優先觀察起漲/試單。｜續強：回檔承接尚可，若原策略入選，可優先觀察延續。,v316鎖定：TEST過多，降為準攻擊觀察,v313_watch_layer_final_lock,7.0,強,5日高點墊高、5日低點未破、MA5站上MA10、收盤站上MA20、5日動能為正、10日動能為正,低,收黑K,🟢 續強機率較高：可保留試單／優先觀察是否延續。,v266.57.2,8.0,4.0,0.0,3.7,弱,結構不足,20D:站上MA20、MA5>=MA10、接近20日高、10D動能轉正、未嚴重乖離MA20｜40D:均線糾結、站回平台成本｜60D:長底結構不足,弱勢/空頭盤：偏重60D大結構防守｜總經偏多：結構分數小幅加權,結構證據不足：原策略若入選，仍需降低信心。,v266.57.5.1,6.1,B,起漲結構中,20D站上MA20｜MA5站上MA10｜接近20日高｜短中均線糾結｜5D動能轉正｜10D動能轉正,平台壓縮後轉強，可優先觀察起漲/試單。,v266.57.6,68.135,原分數欄位:entry_score｜結構前置加權僅供排序觀察，不覆蓋原策略,372.0,8.2,A,續強品質強,回檔不破前低｜收盤守MA5｜回檔量縮｜MA5仍在MA10上｜仍站MA20｜10D動能維持,回檔承接尚可，若原策略入選，可優先觀察延續。,v266.57.7,74.285,0.35,0.75,ALPHA,測試排序分=原分數+結構前置分*策略權重+續強品質*策略權重；不覆蓋原策略,368.0,,2026-08-13,2026-08-14,,,ALPHA,,,0,,,58.0,BLOCK,,BLOCK,,,,,,,,,,,,False,0,102.54,75（🟢 偏集中）,1,部分籌碼資料有限,📉 低信心,0,84,1,1,0,0,1,,,146,194,,,,,,,,,,1495850.0,0.0,0.0,1495850.0,1.0,1,0.0,0.0,,1495850.0,0.0,0.0,1495850.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
3583,辛耘,🔴 出場,觸發停損 -10.12%，優先保護本金。,優先處理賣出，不建議拖延或凹單。,目前不是停利情境，而是停損風控。,籌碼偏分散，資金共識不足；若跌破五日線或 MA20，建議減碼控風險。,STOP_LOSS,800.0,300.0,0.3,719.0,708.8,706.15,MA5：貼近｜→ 盤整,MA20：貼近｜→ 盤整,-10.12,34.0,⚠️ 分散,三大法人賣超｜外資賣超｜投信買超｜自營商買超,NONE,⚪ 未進入五大清單,🔴 派發後期 / 策略失效,非獲利出場：已觸發風控停損,🔴 出場 / 不加碼,持倉生命週期：NONE；主力/派發判讀：🔴 派發後期 / 策略失效；獲利出場狀態：非獲利出場：已觸發風控停損。,price_panel_daily.csv + feature_panel_daily.csv,chip_source_twse.csv,manual_positions.csv,2026-08-13 20:26:29,⚪ 行為中性（依策略判斷）,中低,目前訊號不夠明確，依原策略與風控執行。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA10：依策略判斷,MA5：貼近｜→ 盤整,MA10：依策略判斷,MA20：貼近｜→ 盤整,依策略判斷K,依策略結構,依策略結構,MA5：貼近｜→ 盤整｜MA10：依策略判斷｜MA20：貼近｜→ 盤整｜K棒：依策略判斷K｜K線：依策略結構,K棒型態：依策略判斷K｜K線結構：依策略結構,依原策略執行，技術欄位用於確認節奏與風險。
