engine,date,symbol,market,close,mom_5,std_5,ret_1d
A,2026-01-16,2239,TWSE,30.7,-0.08221225710014957,0.021695228445820103,-0.0016286644951140072
A,2026-01-16,1773,TWSE,159.5,-0.042042042042042094,0.013452835887591563,0.006269592476489061
A,2026-01-16,1810,TWSE,19.5,-0.04176904176904184,0.029945212658805856,0.04615384615384599
A,2026-01-19,1325,TWSE,29.05,-0.06891025641025639,0.00956002200696644,-0.008605851979345935
A,2026-01-19,2357,TWSE,510.0,-0.06593406593406592,0.015401464867566468,0.0
A,2026-01-19,2368,TWSE,624.0,-0.06306306306306309,0.04361956916924529,0.009615384615384581
A,2026-01-19,2379,TWSE,515.0,-0.04452690166975881,0.03589171856070517,0.003883495145631022
A,2026-01-19,2348,TWSE,78.7,-0.040243902439024315,0.015778629687902508,-0.007623888182973437
A,2026-01-20,2379,TWSE,517.0,-0.10243055555555558,0.020528375697340596,-0.029013539651837505
A,2026-01-20,1598,TWSE,20.45,-0.05977011494252882,0.014954758979881638,-0.009779951100244433
A,2026-01-20,1456,TWSE,12.95,-0.040740740740740744,0.01926874846970602,0.015444015444015635
A,2026-01-21,2404,TWSE,1010.0,-0.12173913043478257,0.024539369490101878,-0.01980198019801982
A,2026-01-21,2368,TWSE,596.0,-0.12094395280235992,0.05281286165970494,0.05033557046979875
A,2026-01-21,2028,TWSE,17.9,-0.10050251256281406,0.016145767577761427,-0.0027932960893852776
A,2026-01-21,1598,TWSE,20.25,-0.09799554565701551,0.01569695902920582,-0.007407407407407307
A,2026-01-21,1735,TWSE,17.25,-0.07999999999999996,0.012938159045636808,-0.008695652173912993
A,2026-01-21,2349,TWSE,15.0,-0.07975460122699396,0.020688145645828195,0.0
A,2026-01-21,1713,TWSE,48.9,-0.07210626185958258,0.010877769746093831,0.004089979550102374
A,2026-01-21,2317,TWSE,219.0,-0.06609808102345416,0.020113591198107524,0.020547945205479534
A,2026-01-22,2404,TWSE,990.0,-0.13913043478260867,0.02498963021740742,-0.005050505050505083
A,2026-01-22,2312,TWSE,30.4,-0.08708708708708701,0.06306068309782734,-0.09868421052631582
A,2026-01-22,1598,TWSE,20.1,-0.08219178082191769,0.008806340474318235,-0.0024875621890547706
A,2026-01-22,1735,TWSE,17.1,-0.07816711590296488,0.009530394715092936,-0.01754385964912286
A,2026-01-22,2032,TWSE,15.9,-0.07558139534883712,0.018648574637747894,0.018867924528301883
A,2026-01-22,2025,TWSE,12.35,-0.07490636704119846,0.04354150629759999,0.05668016194331993
A,2026-01-22,2345,TWSE,1150.0,-0.07258064516129037,0.03183674346431431,0.021739130434782705
A,2026-01-22,2028,TWSE,17.85,-0.06544502617801051,0.02188999158010071,0.022408963585434094
A,2026-01-23,2312,TWSE,27.4,-0.18694362017804167,0.04458241052852408,-0.010948905109488982
A,2026-01-23,2404,TWSE,985.0,-0.1045454545454545,0.023427185859063504,-0.034517766497461966
A,2026-01-23,1721,TWSE,18.5,-0.1019417475728156,0.05029526569649682,0.06486486486486487
A,2026-01-23,2349,TWSE,14.6,-0.09876543209876543,0.017971876692380616,0.0
A,2026-01-23,2241,TWSE,34.0,-0.08602150537634412,0.006496010882250035,-0.013235294117647123
A,2026-01-23,2025,TWSE,13.05,-0.07117437722419928,0.044102405099744876,0.003831417624520883
A,2026-01-23,1339,TWSE,43.5,-0.06451612903225812,0.013106633771915592,0.006896551724137945
A,2026-01-23,1735,TWSE,16.8,-0.06406685236768794,0.011134959343080807,0.0
A,2026-01-26,2312,TWSE,27.1,-0.23446327683615809,0.04071356443440593,-0.035055350553505615
A,2026-01-26,2404,TWSE,951.0,-0.1315068493150685,0.02375994702271739,-0.011566771819137789
