engine,date,symbol,market,close,mom_5,mom_10,std_5,ret_1d,weight,wret
B,2026-01-16,2312,TWSE,33.7,0.47807017543859653,,0.03980955585202996,0.05044510385756662,0.0625,0.0031528189910979137
B,2026-01-16,1721,TWSE,20.6,0.3420195439739415,,0.03895188661035573,0.07038834951456296,0.0625,0.004399271844660185
B,2026-01-16,1717,TWSE,67.3,0.3093385214007782,,0.043972527172503835,0.04457652303120363,0.0625,0.002786032689450227
B,2026-01-16,1528,TWSE,28.35,0.2915717539863327,,0.04809098524886873,0.09876543209876543,0.0625,0.006172839506172839
B,2026-01-16,2371,TWSE,38.85,0.2451923076923077,,0.03442817143486333,0.03346203346203347,0.0625,0.002091377091377092
B,2026-01-16,2313,TWSE,142.0,0.22943722943722933,,0.0367383895053088,0.010563380281690238,0.0625,0.0006602112676056399
B,2026-01-16,1540,TWSE,28.0,0.22807017543859653,,0.04897067464180147,-0.025000000000000022,0.0625,-0.0015625000000000014
B,2026-01-16,1809,TWSE,22.75,0.21333333333333337,,0.04488771836605421,0.098901098901099,0.0625,0.006181318681318687
B,2026-01-19,1721,TWSE,22.05,0.4364820846905537,,0.06676613771748244,-0.05442176870748294,0.0625,-0.003401360544217684
B,2026-01-19,2312,TWSE,35.4,0.4131736526946106,,0.0506446219063777,-0.012711864406779516,0.0625,-0.0007944915254237198
B,2026-01-19,1528,TWSE,31.15,0.38752783964365256,,0.03512926909564916,0.017656500802568198,0.0625,0.0011035313001605124
B,2026-01-19,1802,TWSE,45.95,0.31850789096126264,,0.0379505643717107,0.09902067464635467,0.0625,0.006188792165397167
B,2026-01-19,1717,TWSE,70.3,0.29944547134935307,,0.04207406216611816,-0.005689900426742445,0.0625,-0.0003556187766714028
B,2026-01-19,1809,TWSE,25.0,0.2953367875647668,,0.03348494521559637,0.10000000000000009,0.0625,0.0062500000000000056
B,2026-01-19,1539,TWSE,21.55,0.26392961876832843,,0.05964583811811231,-0.04176334106728552,0.0625,-0.002610208816705345
B,2026-01-19,2371,TWSE,40.15,0.23728813559322015,,0.022118574713695528,0.06475716064757164,0.0625,0.004047322540473228
B,2026-01-20,1802,TWSE,50.5,0.4831130690161529,,0.013526425756713999,0.06930693069306937,0.0625,0.0043316831683168355
B,2026-01-20,1809,TWSE,27.5,0.43229166666666674,,0.035858860081300854,0.032727272727272716,0.0625,0.0020454545454545447
B,2026-01-20,1528,TWSE,31.7,0.43115124153498874,,0.060878735240979594,-0.04416403785488954,0.0625,-0.002760252365930596
B,2026-01-20,1526,TWSE,22.6,0.35735735735735763,,0.04332667910433414,0.042035398230088505,0.0625,0.0026272123893805316
B,2026-01-20,1721,TWSE,20.85,0.3451612903225807,,0.08127101817099164,-0.05995203836930452,0.0625,-0.0037470023980815323
B,2026-01-20,1541,TWSE,29.35,0.3102678571428572,,0.05425516944988626,-0.022146507666098825,0.0625,-0.0013841567291311765
B,2026-01-20,1514,TWSE,127.0,0.2828282828282829,,0.05674409706071401,0.09842519685039375,0.0625,0.006151574803149609
B,2026-01-20,2312,TWSE,34.95,0.2686025408348458,,0.05294813471889834,-0.03433476394849788,0.0625,-0.0021459227467811176
B,2026-01-21,1802,TWSE,54.0,0.5629522431259046,,0.06560012266145865,-0.051851851851851816,0.0625,-0.0032407407407407385
B,2026-01-21,1809,TWSE,28.4,0.41999999999999993,,0.07574130867438028,-0.07394366197183089,0.0625,-0.0046214788732394305
B,2026-01-21,1526,TWSE,23.55,0.39349112426035515,,0.0684267764724631,-0.05732484076433131,0.0625,-0.0035828025477707068
B,2026-01-21,1514,TWSE,139.5,0.2857142857142858,,0.03741496493567831,0.007168458781362075,0.0625,0.0004480286738351297
