,return,sharpe,mdd,score
A_only,0.08777668427676644,1.7903050294173177,-0.06233743375124334,3.6060493093601584
B_only,0.03199876906864052,2.908620588804459,-0.01118998464996035,5.838049962027598
AB,0.12003017120634096,2.0497339969396653,-0.0688705027527523,4.150627662332919
