trade_date,wret,rolling_ret_10,exposure,adj_ret,nav,drawdown
2026-01-19,0.0020910638262036717,,0.3,0.0006273191478611015,100062.73191478611,0.0
2026-01-20,-0.0015297949633482,,0.3,-0.00045893848900445996,100016.80927579549,-0.00045893848900435685
2026-01-21,0.0009560156991224,,0.3,0.00028680470973672,100045.49456774861,-0.00017226540498793685
2026-01-22,-0.0038785186108562875,,0.3,-0.0011635555832568863,99929.0860739646,-0.0013356205478711747
2026-01-23,-0.0014330420366648999,,0.3,-0.00042991261099946994,99886.12529965576,-0.0017649589587535042
2026-01-26,-0.0006318026648745,,0.3,-0.00018954079946234998,99867.19280361127,-0.0019541652264838394
2026-01-27,-0.0007167744229677793,,0.3,-0.00021503232689033377,99845.7181287627,-0.002168777344678352
2026-01-28,-0.0005737262582325588,,0.3,-0.00017211787746976764,99828.53289568394,-0.0023405219367947927
2026-01-29,-0.0019397421869607001,,0.3,-0.00058192265608821,99770.4404106679,-0.0029210825901409
2026-01-30,-0.0003232820070689,-0.007979603625647754,0.3,-9.698460212066999e-05,99760.76421420126,-0.0030177838922288425
2026-02-02,-0.00116743439647,-0.011238101848321426,0.3,-0.000350230318941,99725.82496993271,-0.0033669572917548463
2026-02-03,9.777231540456032e-05,-0.009610534569568665,0.3,2.9331694621368096e-05,99728.7500973766,-0.0033377243556965697
2026-02-05,-9.9288221454e-05,-0.010665838490145066,0.3,-2.9786466436199996e-05,99725.7795303091,-0.003367411403118248
2026-02-06,0.0025040359438760883,-0.00428328393541269,0.3,0.0007512107831628265,99800.6946112516,-0.0026187302557125758
2026-02-09,0.0002839776410509355,-0.0025662642576968543,0.3,8.519329231528065e-05,99809.1969610009,-0.002533760061649404
2026-02-10,0.0005075790917583,-0.001426882501064054,0.3,0.00015227372752749002,99824.39527946366,-0.0023818721592113734
2026-02-11,-0.0007752855298076068,-0.0014853936079038815,0.3,-0.00023258565894228203,99801.17755670908,-0.0026139038288478522
2026-02-23,0.0030665414717335002,0.0021548741220621774,0.8,0.0024532331773868005,100046.01311663346,-0.00016708316705649207
2026-02-24,-0.0012563553223725763,0.002838260986650301,0.8,-0.001005084257898061,99945.45844378448,-0.0011719994922936294
2026-02-25,0.0018972692639394999,0.005058812257658701,0.8,0.0015178154111516,100097.15720088508,0.0
2026-02-26,0.0010857959826838,0.007312042636812501,0.8,0.0008686367861470401,100184.10527381851,0.0
2026-03-02,0.0116636652334998,0.01887793555490774,0.8,0.00933093218679984,101118.91636632373,0.0
2026-03-03,-0.0007393739947621212,0.01823784978159962,0.8,-0.000591499195809697,101059.10460861189,-0.0005914991958098081
2026-03-04,-0.0029192312415296,0.012814582596193929,0.8,-0.00233538499322368,100823.09269228032,-0.002925502810688041
2026-03-05,0.0005174247574706522,0.013048029712613648,0.8,0.0004139398059765218,100864.82738370732,-0.0025127739867772947
2026-03-06,0.011531391068106439,0.024071841688961787,0.8,0.009225112854485152,101795.3167993702,0.0
2026-03-09,-0.0063236351656018,0.01852349205316759,0.8,-0.00505890813248144,101280.34364336534,-0.005058908132481332
2026-03-10,-0.0010951671942210784,0.014361783387213015,0.8,-0.0008761337553768628,101191.60851554321,-0.005930609607678106
2026-03-11,0.004467643554854701,0.020085782264440293,0.8,0.003574114843883761,101553.27894561508,-0.0023776914436265395
2026-03-12,-0.001414550560731905,0.016773962439768884,0.8,-0.0011316404485855241,101438.35714747374,-0.003506641200400118
2026-03-13,-2.5137367408399874e-05,0.015663029089676685,0.8,-2.01098939267199e-05,101436.31723287138,-0.0035266805761444697
2026-03-16,0.0034257650170154003,0.007425128873192287,0.8,0.0027406120136123204,101714.3148224964,-0.000795733825687206
2026-03-17,0.004771753026221,0.012936255894175408,0.8,0.0038174024209768004,102102.59929414777,0.0
2026-03-18,0.0024382076888189,0.018293694824523907,0.8,0.00195056615105512,102301.75716826569,0.0
2026-03-19,-0.0013229995305421068,0.01645327053651115,0.8,-0.0010583996244336855,102193.48102689988,-0.001058399624433659
2026-03-20,0.0038201966409965996,0.008742076109401309,0.8,0.0030561573127972797,102505.80038126044,0.0
2026-03-23,-0.0063692361359015,0.008696475139101609,0.8,-0.0050953889087212,101983.4934629182,-0.005095388908721077
2026-03-24,-0.0005390129981483562,0.009252629335174331,0.8,-0.000431210398518685,101939.51712005973,-0.005524402122557781
2026-03-25,0.00017895538468220702,0.004963941165001837,0.8,0.00014316430774576563,101954.11122046017,-0.005382028712017539
2026-03-26,0.0005065252025696159,0.006885016928303358,0.8,0.00040522016205569273,101995.42508193116,-0.0049789894565087645
2026-03-27,0.002406409522834175,0.009316563818545932,0.8,0.0019251276182673399,102191.7792916933,-0.0030634470283552595
2026-03-30,0.011386341957100237,0.01727714075863077,0.8,0.00910907356568019,103122.6517270691,0.0
2026-03-31,-0.0010013642745232022,0.011504023457886568,0.8,-0.0008010914196185618,103040.04105560223,-0.0008010914196185936
2026-04-01,0.0017329604865713001,0.010798776255638968,0.8,0.0013863683892570402,103182.89251134946,0.0
2026-04-02,-0.0008908857911757135,0.01123088999500536,0.8,-0.0007127086329405709,103109.35317308485,-0.0007127086329404841
2026-04-07,-0.0009161966640530377,0.006494496689955723,0.8,-0.0007329573312424302,103033.77841675696,-0.0014451435791654754
2026-04-08,-0.0006751008944251136,0.01218863193143211,0.8,-0.0005400807155400909,102978.13185998483,-0.0019844438005274245
2026-04-09,-0.000966271201265,0.011761373728315466,0.8,-0.0007730169610120001,102898.52801744375,-0.0027559267528232123
