stock_id,stock_name,foreign_net_buy,trust_net_buy,dealer_net_buy,inst_net_buy,inst_buy_days,inst_valid,margin_balance,short_balance,margin_balance_change,short_balance_change,margin_valid,chip_market
1324,,-10000.0,0.0,0.0,-10000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1325,,-50000.0,0.0,0.0,-50000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1326,台化,5217139.0,0.0,860678.0,6077817.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1336,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1337,,4000.0,0.0,0.0,4000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1338,,-9000.0,0.0,0.0,-9000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1339,,-16000.0,0.0,0.0,-16000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1340,,-49000.0,0.0,0.0,-49000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1341,富林-KY,-2000.0,0.0,0.0,-2000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1342,,-52000.0,0.0,0.0,-52000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1402,遠東新,-5963725.0,-440000.0,339096.0,-6064629.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1409,新纖,-5216000.0,0.0,21195.0,-5194805.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1410,,-24000.0,0.0,0.0,-24000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1413,宏洲,-3000.0,0.0,0.0,-3000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1414,,-104000.0,0.0,0.0,-104000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1416,,12000.0,0.0,0.0,12000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1417,嘉裕,-20000.0,0.0,0.0,-20000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1418,東華,-2000.0,0.0,0.0,-2000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1419,新紡,-9939.0,0.0,8026.0,-1913.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1423,利華,-17000.0,0.0,0.0,-17000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1432,大魯閣,-74000.0,0.0,0.0,-74000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1434,福懋,-297000.0,0.0,0.0,-297000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1435,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,
1436,,-95000.0,0.0,0.0,-95000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1437,勤益控,-23000.0,0.0,0.0,-23000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1438,,-20000.0,0.0,0.0,-20000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1439,,-9000.0,0.0,0.0,-9000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1440,南紡,-421000.0,0.0,20000.0,-401000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1441,,-4000.0,0.0,0.0,-4000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1442,,-158000.0,-440000.0,0.0,-598000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1443,,-11000.0,0.0,0.0,-11000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1444,力麗,-102000.0,0.0,0.0,-102000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1445,,-11000.0,0.0,0.0,-11000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1446,宏和,29000.0,0.0,0.0,29000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1447,力鵬,-688000.0,0.0,0.0,-688000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1449,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1451,,-27000.0,0.0,0.0,-27000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1452,,-4000.0,0.0,0.0,-4000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1453,,-2950.0,0.0,0.0,-2950.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1454,,-11980.0,0.0,0.0,-11980.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1455,,-303000.0,0.0,0.0,-303000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1456,,-7000.0,0.0,0.0,-7000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1457,,-56000.0,0.0,0.0,-56000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1459,聯發,-20000.0,0.0,0.0,-20000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1460,宏遠,-52000.0,0.0,0.0,-52000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1463,,-14000.0,0.0,0.0,-14000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1464,,-61000.0,0.0,0.0,-61000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1465,,-9000.0,0.0,0.0,-9000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1466,,-16000.0,0.0,0.0,-16000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1467,,3000.0,0.0,0.0,3000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1468,,-10000.0,0.0,0.0,-10000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
