window_name,start_date,end_date,trading_days,nonzero_ret_days,avg_holdings,avg_gross_exposure,cash_days,initial_nav,final_nav,total_return,ann_return,sharpe,mdd,pass_sharpe_gt_1,pass_mdd_gt_-0.15
full_sample,2026-01-12,2026-04-09,53,47,10.867924528301886,0.3849056603773587,45,100000.0,91363.49048299772,-0.08636509517002289,-0.3491435538737966,-2.5986304495117456,-0.10876971716295081,False,True
last_60d,2026-01-12,2026-04-09,53,47,10.867924528301886,0.3849056603773587,45,100000.0,91363.49048299772,-0.08636509517002289,-0.3491435538737966,-2.5986304495117456,-0.10876971716295081,False,True
