trade_date,daily_ret,holdings,gross_exposure,nav,cum_return,drawdown
2026-01-12,0.0,0,0.0,100000.0,0.0,0.0
2026-01-13,0.0,0,0.0,100000.0,0.0,0.0
2026-01-14,0.0,0,0.0,100000.0,0.0,0.0
2026-01-15,0.0,0,0.0,100000.0,0.0,0.0
2026-01-16,0.0,0,0.0,100000.0,0.0,0.0
2026-01-19,-0.00567646382185428,4,0.3,99432.35361781457,-0.005676463821854272,-0.005676463821854272
2026-01-20,0.00045394740651795944,7,0.29999999999999993,99477.49067686335,-0.00522509323136644,-0.00522509323136644
2026-01-21,-0.0010212620072632015,3,0.3,99375.8980950572,-0.006241019049427976,-0.006241019049427976
2026-01-22,0.00021961132657229995,8,0.3,99397.72216786716,-0.006022778321328359,-0.006022778321328359
2026-01-23,-0.0020637307446560406,8,0.3,99192.59203268055,-0.008074079673194512,-0.008074079673194512
2026-01-26,-0.005338858455674544,8,0.3,98663.01682396661,-0.013369831760333906,-0.013369831760333906
2026-01-27,-0.002649280282121226,8,0.3,98401.63083892029,-0.015983691610797157,-0.015983691610797157
2026-01-28,-0.012428665868354448,8,0.3,97178.62984832219,-0.028213701516778045,-0.028213701516778045
2026-01-29,-0.01256067922831378,8,0.3,95958.00025095037,-0.040419997490496296,-0.040419997490496296
2026-01-30,-0.01024354591099196,8,0.3,94975.05006985278,-0.05024949930147227,-0.05024949930147227
2026-02-02,0.00044388797695762283,8,0.3,95017.20835268973,-0.049827916473102696,-0.049827916473102696
2026-02-03,-0.009740542504411765,8,0.3,94091.68919607981,-0.059083108039201915,-0.059083108039201915
2026-02-05,-0.008267091900174115,8,0.3,93313.8245544532,-0.06686175445546805,-0.06686175445546805
2026-02-06,0.0071564275091542985,8,0.3,93981.61817547907,-0.06018381824520924,-0.06018381824520924
2026-02-09,0.001685484438920134,8,0.3,94140.02273045837,-0.058599772695416275,-0.058599772695416275
2026-02-10,0.053221566881196655,11,0.9999999999999999,99150.30224640483,-0.008496977535951689,-0.008496977535951689
2026-02-11,0.1358266198710071,11,0.9999999999999999,112617.55265972273,0.1261755265972273,0.0
2026-02-23,0.009048618221867389,12,1.0,113636.5858988216,0.13636585898821596,0.0
2026-02-24,-0.05172628590536702,14,0.9999999999999999,107758.58736730936,0.07758587367309366,-0.05172628590536699
2026-02-25,2.0139949030925316e-05,14,0.9999999999999999,107760.75761976658,0.07760757619766578,-0.051707187721097836
2026-02-26,-0.012997685714633,12,0.9999999999999999,106360.11715985411,0.06360117159854117,-0.06403279966054443
2026-03-02,-0.08579552758886151,14,0.9999999999999999,97234.8947937113,-0.027651052062886983,-0.14433459941953775
2026-03-03,-0.10336785650672822,14,0.9999999999999999,87183.93214122814,-0.12816067858771862,-0.232782897764511
2026-03-04,-0.010321633897427388,14,0.9999999999999999,86284.05151192824,-0.1371594848807176,-0.2407018318136308
2026-03-05,0.0006137733864686086,13,0.9999999999999999,86337.01036642294,-0.1366298963357706,-0.24023579480560375
2026-03-06,-0.03013146470843187,13,0.9999999999999999,83735.54978553555,-0.16264450214464454,-0.2631286031411485
2026-03-09,0.06651586022656977,14,0.9999999999999999,89305.29191106521,-0.1069470808893479,-0.2141149683027278
2026-03-10,0.026744577777764723,14,0.9999999999999999,91693.72423654667,-0.0830627576345333,-0.1930968049481191
2026-03-11,0.03868017204462783,10,1.0,95240.45326542897,-0.047595467345710296,-0.16188565054015236
2026-03-12,0.09412541668274224,14,0.9999999999999999,104205.0006140907,0.04205000614090704,-0.0829977881694588
2026-03-13,0.05536733679024344,14,0.9999999999999999,109974.55397831858,0.0997455397831859,-0.03222581786963907
2026-03-16,0.03714389869934582,14,0.9999999999999999,114059.43767079499,0.14059437670794983,0.0
2026-03-17,0.001605832436571102,14,0.9999999999999999,114242.59801550381,0.14242598015503805,0.0
2026-03-18,-0.05206352270862561,14,0.9999999999999999,108294.72591943125,0.08294725919431256,-0.052063522708625576
2026-03-19,-0.05117444948297379,14,0.9999999999999999,102752.80293859482,0.027528029385948116,-0.10057365007884111
2026-03-20,-0.07134101145121956,14,0.9999999999999999,95422.31404750762,-0.04577685952492383,-0.16473963560809513
2026-03-23,0.015460842770204247,14,0.9999999999999999,96897.6234417652,-0.031023765582347984,-0.15182580644204824
2026-03-24,0.025451207730721608,14,0.9999999999999999,99363.78498459481,-0.006362150154051949,-0.13023874884996756
2026-03-25,0.09589843996528924,13,0.9999999999999999,108892.61695366388,0.08892616953663879,-0.046830001722421355
2026-03-26,-0.010300548953172256,10,1.0,107770.96322209363,0.0777096322209363,-0.056648175950374635
2026-03-27,0.02235360961366962,14,0.9999999999999999,110180.03326164946,0.10180033261649446,-0.035560857547226155
2026-03-30,-0.037623273534359326,14,0.9999999999999999,106034.6997322216,0.060346997322216156,-0.0718462152109699
2026-03-31,-0.015742112097396305,14,0.9999999999999999,104365.48960282322,0.04365489602823214,-0.08645731613474139
2026-04-01,-0.0015382437596031322,14,0.9999999999999999,104204.95003972376,0.04204950039723765,-0.08786256746732812
2026-04-02,0.004674323367299895,14,0.9999999999999999,104692.03767268275,0.046920376726827584,-0.08359894215225183
2026-04-07,0.006204185500462966,14,0.9999999999999999,105341.56649482553,0.05341566494825534,-0.07791341999654389
2026-04-08,0.0,14,0.9999999999999999,105341.56649482553,0.05341566494825534,-0.07791341999654389
2026-04-09,0.0,14,0.9999999999999999,105341.56649482553,0.05341566494825534,-0.07791341999654389
