date,nav,ret,holdings,avg_exposure
2026-04-20,100100.0,0.0,973.0,0.0733105276555006
2026-04-21,100100.0,0.0,973.0,0.0733105276555006
2026-04-22,100100.0,0.0,973.0,0.0733105276555006
