date,daily_ret,holdings,gross_exposure,cash_mode,nav,cum_return,peak,drawdown
2026-01-09,0.0,0,0.0,True,100000.0,0.0,100000.0,0.0
2026-01-12,0.0,0,0.0,True,100000.0,0.0,100000.0,0.0
2026-01-13,0.0,0,0.0,True,100000.0,0.0,100000.0,0.0
2026-01-14,0.0,0,0.0,True,100000.0,0.0,100000.0,0.0
2026-01-15,0.0,0,0.0,True,100000.0,0.0,100000.0,0.0
2026-01-16,0.023881370071682582,8,0.5,False,102388.13700716826,0.023881370071682673,102388.13700716826,0.0
2026-01-19,0.010427966343012761,8,0.5,False,103455.83705380278,0.034558370538027905,103455.83705380278,0.0
2026-01-20,0.005118590666377099,8,0.5,False,103985.3851357286,0.03985385135728614,103985.3851357286,0.0
2026-01-21,-0.02272829888394704,8,0.5,False,101621.97422280142,0.016219742228014145,103985.3851357286,-0.022728298883947007
2026-01-22,-0.007472839269655605,8,0.5,False,100862.56954316935,0.008625695431693448,103985.3851357286,-0.030031293229170197
2026-01-23,0.01295588684177227,8,0.5,False,102169.33358074103,0.021693335807410286,103985.3851357286,-0.01746448842418713
2026-01-26,-0.006539505981735319,8,0.5,False,101501.19661263986,0.015011966126398546,103985.3851357286,-0.023889785279404552
2026-01-27,-0.002156566582677842,8,0.5,False,101282.30252392324,0.012823025239232289,103985.3851357286,-0.02599483194948138
2026-01-28,0.0016624241858057137,8,0.5,False,101450.67667323309,0.014506766732330867,103985.3851357286,-0.024375622201014524
2026-01-29,-0.016339074465497407,8,0.5,False,99793.06651249403,-0.0020693348750596696,103985.3851357286,-0.040316421560226745
2026-01-30,-0.018264419347863284,8,0.5,False,97970.40409770062,-0.020295959022993748,103985.3851357286,-0.05784448487810889
2026-02-02,-0.0010847641281379328,8,0.5,False,97864.12931771626,-0.02135870682283736,103985.3851357286,-0.05886650138404048
2026-02-03,0.003923563513035716,8,0.5,False,98248.10544474225,-0.017518945552577492,103985.3851357286,-0.05517390432797531
2026-02-05,-0.022334544618222263,8,0.5,False,96053.77875003085,-0.03946221249969151,103985.3851357286,-0.07627616491822287
2026-02-06,0.01531649762047249,6,0.5,False,97524.9862236931,-0.024750137763069113,103985.3851357286,-0.06212795099621904
2026-02-09,0.007556913450463422,8,0.5,False,98261.97410384318,-0.01738025896156814,103985.3851357286,-0.05504053309428869
2026-02-10,0.007609179714837974,8,0.5,False,99009.66712393406,-0.009903328760659358,103985.3851357286,-0.04785016668736575
2026-02-11,0.0037823725270231326,8,0.5,False,99384.15856877335,-0.006158414312266491,103985.3851357286,-0.04424878131623433
2026-02-23,0.027277027963615072,8,0.5,False,102095.06304119412,0.02095063041194134,103985.3851357286,-0.01817872859793812
2026-02-24,0.0006258154447759887,8,0.5,False,102158.95570848069,0.02158955708480681,103985.3851357286,-0.017564289682285072
2026-02-25,0.006146176203033517,8,0.5,False,102786.8426509829,0.027868426509829014,103985.3851357286,-0.011526066698520077
2026-02-26,0.015702715791851736,8,0.5,False,104400.87522827306,0.0440087522827306,104400.87522827306,0.0
2026-03-02,-0.017029788780346146,8,0.5,False,102622.9503746523,0.026229503746522997,104400.87522827306,-0.01702978878034611
2026-03-03,-0.017506863068256828,8,0.5,False,100826.34443478273,0.008263444347827331,104400.87522827306,-0.034238513668344184
2026-03-04,-0.0022663728206559347,8,0.5,False,100597.83434814966,0.005978343481496617,104400.87522827306,-0.03642728925220251
2026-03-05,0.011200187341179918,8,0.5,False,101724.54893896592,0.017245489389659197,104400.87522827306,-0.025635094374978573
2026-03-06,-0.03040161315268714,8,0.5,False,98631.95855399188,-0.01368041446008128,104400.87522827306,-0.05525735930534503
2026-03-09,-0.027554182695539865,8,0.5,False,95914.23554837627,-0.0408576445162373,104400.87522827306,-0.08128897062731233
2026-03-10,0.0025597253266469444,8,0.5,False,96159.74964629543,-0.03840250353704566,104400.87522827306,-0.07893732273755716
2026-03-11,0.012352737477544014,8,0.5,False,97347.58578958247,-0.026524142104175308,104400.87522827306,-0.06755967728497037
2026-03-12,0.01416673030550198,8,0.5,False,98726.68278335521,-0.01273317216644787,104400.87522827306,-0.054350046707091315
2026-03-13,0.01767012986268838,8,0.5,False,100471.19608904954,0.004711960890495304,104400.87522827306,-0.037640289227760304
2026-03-16,0.014320445840628887,8,0.5,False,101909.98841118599,0.01909988411185992,104400.87522827306,-0.023858869110443104
2026-03-17,0.01535633844437146,8,0.5,False,103474.95268409014,0.03474952684090149,104400.87522827306,-0.008868915535031552
2026-03-18,0.006979786309671068,8,0.5,False,104197.18574222841,0.04197185742228404,104400.87522827306,-0.0019510323605935742
2026-03-19,0.012227616995873297,8,0.5,False,105471.26902153225,0.054712690215322546,105471.26902153225,0.0
2026-03-20,-0.009344801894773429,8,0.5,False,104485.66090693568,0.044856609069356734,105471.26902153225,-0.00934480189477338
2026-03-23,-0.014068052270826248,8,0.5,False,103015.75116774507,0.03015751167745062,105471.26902153225,-0.023281391004083662
2026-03-24,-0.005589121311366185,8,0.5,False,102439.98363748704,0.02439983637487031,105471.26902153225,-0.02874038979683058
2026-03-25,0.01687750378135673,8,0.5,False,104168.91484869084,0.04168914848690841,105471.26902153225,-0.012347952052947586
2026-03-26,0.015511440148577013,8,0.5,False,105784.72473670852,0.05784724736708524,105784.72473670852,0.0
2026-03-27,0.009055312328684034,8,0.5,False,106742.63845880328,0.06742638458803274,106742.63845880328,0.0
2026-03-30,-0.018981849907223236,8,0.5,False,104716.46571687728,0.04716465716877294,106742.63845880328,-0.01898184990722329
2026-03-31,-0.0070703496896788245,8,0.5,False,103976.0836859917,0.03976083685991694,106742.63845880328,-0.025917991280300923
2026-04-01,0.009122145749751724,8,0.5,False,104924.5686758637,0.04924568675863705,106742.63845880328,-0.01703227322454892
2026-04-02,-0.0008305667184955179,8,0.5,False,104837.42182116903,0.04837421821169041,106742.63845880328,-0.017848693503763835
2026-04-07,-0.01467902156596234,8,0.5,False,103298.5110453362,0.032985110453362054,106742.63845880328,-0.03226571371286013
2026-04-08,0.0053837512915585264,8,0.5,False,103854.6445375926,0.038546445375925886,106742.63845880328,-0.027055672999176328
