mode,engines,window_name,start_date,end_date,trading_days,nonzero_ret_days,avg_holdings,avg_gross_exposure,cash_days,initial_nav,final_nav,total_return,ann_return,sharpe,mdd,pass_sharpe_gt_1,pass_mdd_gt_-0.15
A_only,A,full_sample,2026-01-19,2026-04-09,48,48,8.0,0.45937499999999964,20,100943.88255566549,108777.66842767665,0.07760535530908674,0.4805178241520134,1.8092506916833941,-0.06233743375124334,True,True
A_only,A,last_60d,2026-01-19,2026-04-09,48,48,8.0,0.45937499999999964,20,100943.88255566549,108777.66842767665,0.07760535530908674,0.4805178241520134,1.8092506916833941,-0.06233743375124334,True,True
