mode,engines,window_name,start_date,end_date,trading_days,nonzero_ret_days,avg_holdings,avg_gross_exposure,cash_days,initial_nav,final_nav,total_return,ann_return,sharpe,mdd,pass_sharpe_gt_1,pass_mdd_gt_-0.15
AB,"A,B",full_sample,2026-01-19,2026-04-09,48,48,9.604166666666666,0.6124999999999994,20,101152.98893828585,112003.01712063409,0.10726354501465019,0.7073311290471176,2.0714250125683478,-0.0688705027527523,True,True
AB,"A,B",last_60d,2026-01-19,2026-04-09,48,48,9.604166666666666,0.6124999999999994,20,101152.98893828585,112003.01712063409,0.10726354501465019,0.7073311290471176,2.0714250125683478,-0.0688705027527523,True,True
