trade_date,raw_ret,holdings,gross_exposure,rolling_ret_10,rolling_ret_20,exposure,adj_ret,nav,cum_return,drawdown,mode
2026-01-19,0.0020910638262036717,4,0.0874999999999998,,,0.3,0.0006273191478611015,100062.73191478611,0.0006273191478611828,0.0,base_03_08
2026-01-20,-0.0015297949633482,4,0.0874999999999998,,,0.3,-0.00045893848900445996,100016.80927579549,0.0001680927579548186,-0.00045893848900435685,base_03_08
2026-01-21,0.0009560156991223999,4,0.0874999999999998,,,0.3,0.00028680470973671996,100045.49456774861,0.00045494567748605164,-0.00017226540498793685,base_03_08
2026-01-22,-0.0038785186108562875,4,0.08749999999999981,,,0.3,-0.0011635555832568863,99929.0860739646,-0.0007091392603539859,-0.0013356205478711747,base_03_08
2026-01-23,-0.0014330420366648999,4,0.0874999999999998,,,0.3,-0.00042991261099946994,99886.12529965576,-0.0011387470034424085,-0.0017649589587535042,base_03_08
2026-01-26,-0.0006318026648745,4,0.0874999999999998,,,0.3,-0.00018954079946234998,99867.19280361127,-0.0013280719638872895,-0.0019541652264838394,base_03_08
2026-01-27,-0.0007167744229677793,4,0.0874999999999998,,,0.3,-0.00021503232689033377,99845.7181287627,-0.0015428187123729398,-0.002168777344678352,base_03_08
2026-01-28,-0.0005737262582325589,4,0.0874999999999997,,,0.3,-0.00017211787746976767,99828.53289568394,-0.0017146710431605872,-0.0023405219367947927,base_03_08
2026-01-29,-0.0019397421869607001,4,0.0874999999999998,,,0.3,-0.00058192265608821,99770.4404106679,-0.0022955958933209564,-0.0029210825901409,base_03_08
2026-01-30,-0.0003232820070689,4,0.0874999999999998,-0.007979603625647754,,0.3,-9.698460212066999e-05,99760.76421420126,-0.002392357857987415,-0.0030177838922288425,base_03_08
2026-02-02,-0.00116743439647,4,0.0874999999999998,-0.011238101848321426,,0.3,-0.000350230318941,99725.82496993271,-0.0027417503006729183,-0.0033669572917548463,base_03_08
2026-02-03,9.777231540456034e-05,4,0.0874999999999999,-0.009610534569568665,,0.3,2.93316946213681e-05,99728.7500973766,-0.00271249902623405,-0.0033377243556965697,base_03_08
2026-02-05,-9.9288221454e-05,4,0.0874999999999998,-0.010665838490145066,,0.3,-2.9786466436199996e-05,99725.7795303091,-0.002742204696909001,-0.003367411403118248,base_03_08
2026-02-06,0.0025040359438760883,4,0.0874999999999998,-0.004283283935412691,,0.3,0.0007512107831628265,99800.6946112516,-0.001993053887483942,-0.0026187302557125758,base_03_08
2026-02-09,0.0002839776410509355,4,0.0874999999999998,-0.0025662642576968547,,0.3,8.519329231528065e-05,99809.1969610009,-0.001908030389990989,-0.002533760061649404,base_03_08
2026-02-10,0.0005075790917583,4,0.1999999999999999,-0.0014268825010640544,,0.3,0.00015227372752749002,99824.39527946366,-0.0017560472053633758,-0.0023818721592113734,base_03_08
2026-02-11,-0.0007752855298076068,4,0.19999999999999993,-0.001485393607903882,,0.3,-0.00023258565894228203,99801.17755670908,-0.001988224432909247,-0.0026139038288478522,base_03_08
2026-02-23,0.0030665414717335002,4,0.1999999999999999,0.0021548741220621774,,0.8,0.0024532331773868005,100046.01311663346,0.0004601311663345875,-0.00016708316705649207,base_03_08
2026-02-24,-0.0012563553223725763,4,0.1999999999999998,0.002838260986650301,,0.8,-0.001005084257898061,99945.45844378448,-0.0005454155621552603,-0.0011719994922936294,base_03_08
2026-02-25,0.0018972692639394999,4,0.1999999999999998,0.005058812257658701,-0.002920791367989053,0.8,0.0015178154111516,100097.15720088508,0.0009715720088507851,0.0,base_03_08
2026-02-26,0.0010857959826838,4,0.1999999999999998,0.007312042636812501,-0.003926059211508925,0.8,0.0008686367861470401,100184.10527381851,0.0018410527381851338,0.0,base_03_08
2026-03-02,0.0116636652334998,4,0.1999999999999999,0.01887793555490774,0.009267400985339075,0.8,0.00933093218679984,101118.91636632373,0.0111891636632373,0.0,base_03_08
2026-03-03,-0.0007393739947621211,4,0.19999999999999993,0.01823784978159962,0.007572011291454553,0.8,-0.0005914991958096969,101059.10460861189,0.010591046086118938,-0.0005914991958098081,base_03_08
2026-03-04,-0.0029192312415296,4,0.1999999999999999,0.012814582596193929,0.008531298660781242,0.8,-0.00233538499322368,100823.09269228032,0.008230926922803139,-0.002925502810688041,base_03_08
2026-03-05,0.0005174247574706522,4,0.0874999999999998,0.013048029712613648,0.010481765454916794,0.8,0.0004139398059765218,100864.82738370732,0.008648273837073228,-0.0025127739867772947,base_03_08
2026-03-06,0.011531391068106439,4,0.1999999999999998,0.024071841688961787,0.02264495918789773,0.8,0.009225112854485152,101795.3167993702,0.017953167993701946,0.0,base_03_08
2026-03-09,-0.0063236351656018,4,0.1999999999999999,0.01852349205316759,0.017038098445263713,0.8,-0.00505890813248144,101280.34364336534,0.012803436433653337,-0.005058908132481332,base_03_08
