signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight,wret
2026-01-16,2026-01-19,2312,TWSE,33.7,0.47807017543859653,0.039052146336323916,0.05044510385756662,0.3333333333333333,0.016815034619188873
2026-01-16,2026-01-19,2371,TWSE,38.85,0.2451923076923077,0.03404981605545254,0.03346203346203347,0.3333333333333333,0.011154011154011156
2026-01-16,2026-01-19,2327,TWSE,283.0,0.17184265010351973,0.03297514084497543,0.044169611307420586,0.3333333333333333,0.014723203769140195
2026-01-19,2026-01-20,2371,TWSE,40.15,0.23728813559322015,0.03442817143486333,0.06475716064757164,0.25,0.01618929016189291
2026-01-19,2026-01-20,2327,TWSE,295.5,0.19393939393939386,0.03296411920441515,-0.02030456852791873,0.25,-0.005076142131979683
2026-01-19,2026-01-20,1617,TWSE,17.15,0.18275862068965498,0.03857623448501985,0.0,0.25,0.0
2026-01-19,2026-01-20,1568,TWSE,26.8,0.15517241379310343,0.04140456719208733,-0.02985074626865669,0.25,-0.007462686567164173
2026-01-20,2026-01-21,1528,TWSE,31.7,0.43115124153498874,0.03512926909564916,-0.04416403785488954,0.125,-0.005520504731861192
2026-01-20,2026-01-21,1541,TWSE,29.35,0.3102678571428572,0.0417764107611332,-0.022146507666098825,0.125,-0.002768313458262353
2026-01-20,2026-01-21,1617,TWSE,17.15,0.18275862068965498,0.03857623448501985,-0.020408163265306034,0.125,-0.0025510204081632543
2026-01-20,2026-01-21,2329,TWSE,69.9,0.1807432432432432,0.03824413830669672,-0.08726752503576551,0.125,-0.01090844062947069
2026-01-20,2026-01-21,1717,TWSE,69.9,0.1747899159663866,0.04207406216611816,-0.045779685264663805,0.125,-0.005722460658082976
2026-01-20,2026-01-21,1524,TWSE,34.55,0.17118644067796596,0.035307540141400605,-0.0014471780028942893,0.125,-0.00018089725036178617
2026-01-20,2026-01-21,1789,TWSE,28.25,0.1697722567287785,0.018528898105963358,-0.060176991150442505,0.125,-0.007522123893805313
2026-01-20,2026-01-21,2049,TWSE,233.5,0.1502463054187193,0.019829593141894083,-0.008565310492505307,0.125,-0.0010706638115631634
2026-01-21,2026-01-22,1809,TWSE,28.4,0.41999999999999993,0.03585886008130083,-0.07394366197183089,0.25,-0.018485915492957722
2026-01-21,2026-01-22,1526,TWSE,23.55,0.39349112426035515,0.04332667910433414,-0.05732484076433131,0.25,-0.014331210191082827
