signal_date,trade_date,symbol,signal_close,mom_5d,trade_ret,weight,wret
2026-01-16,2026-01-19,2312,33.7,0.47807017543859653,0.05044510385756662,0.05,0.002522255192878331
2026-01-16,2026-01-19,1721,20.6,0.3420195439739415,0.07038834951456296,0.05,0.0035194174757281482
2026-01-16,2026-01-19,1717,67.3,0.3093385214007782,0.04457652303120363,0.05,0.0022288261515601817
2026-01-16,2026-01-19,1528,28.35,0.2915717539863327,0.09876543209876543,0.05,0.0049382716049382715
2026-01-16,2026-01-19,2371,38.85,0.2451923076923077,0.03346203346203347,0.05,0.0016731016731016735
2026-01-16,2026-01-19,2313,142.0,0.22943722943722933,0.010563380281690238,0.05,0.0005281690140845119
2026-01-16,2026-01-19,1540,28.0,0.22807017543859653,-0.025000000000000022,0.05,-0.0012500000000000011
2026-01-16,2026-01-19,1809,22.75,0.21333333333333337,0.098901098901099,0.05,0.00494505494505495
2026-01-16,2026-01-19,1536,64.7,0.19814814814814818,-0.015455950540958274,0.05,-0.0007727975270479138
2026-01-16,2026-01-19,2367,36.65,0.19771241830065356,0.012278308321964637,0.05,0.0006139154160982319
2026-01-16,2026-01-19,1802,41.8,0.19428571428571417,0.09928229665071786,0.05,0.004964114832535893
2026-01-16,2026-01-19,1303,73.8,0.19224555735056548,0.07588075880758827,0.05,0.0037940379403794133
2026-01-16,2026-01-19,2025,14.05,0.19067796610169485,-0.003558718861210064,0.05,-0.00017793594306050322
2026-01-16,2026-01-19,2327,283.0,0.17184265010351973,0.044169611307420586,0.05,0.0022084805653710296
2026-01-16,2026-01-19,1514,114.0,0.16564417177914104,0.05263157894736836,0.05,0.0026315789473684184
2026-01-16,2026-01-19,1617,16.8,0.16262975778546718,0.02083333333333326,0.05,0.001041666666666663
2026-01-16,2026-01-19,1795,337.5,0.15384615384615374,-0.053333333333333344,0.05,-0.0026666666666666674
2026-01-16,2026-01-19,2375,104.5,0.1534216335540839,0.02392344497607657,0.05,0.0011961722488038286
2026-01-16,2026-01-19,1539,19.6,0.14956011730205288,0.09948979591836737,0.05,0.004974489795918369
2026-01-16,2026-01-19,1529,22.3,0.14948453608247436,0.024663677130044803,0.05,0.0012331838565022403
2026-01-19,2026-01-20,1721,22.05,0.4364820846905537,-0.05442176870748294,0.05,-0.0027210884353741473
2026-01-19,2026-01-20,2312,35.4,0.4131736526946106,-0.012711864406779516,0.05,-0.0006355932203389758
2026-01-19,2026-01-20,1528,31.15,0.38752783964365256,0.017656500802568198,0.05,0.00088282504012841
2026-01-19,2026-01-20,1802,45.95,0.31850789096126264,0.09902067464635467,0.05,0.004951033732317734
2026-01-19,2026-01-20,1717,70.3,0.29944547134935307,-0.005689900426742445,0.05,-0.00028449502133712223
2026-01-19,2026-01-20,1809,25.0,0.2953367875647668,0.1,0.05,0.005000000000000001
2026-01-19,2026-01-20,1539,21.55,0.26392961876832843,-0.04176334106728552,0.05,-0.0020881670533642763
2026-01-19,2026-01-20,2371,40.15,0.23728813559322015,0.06475716064757164,0.05,0.003237858032378582
2026-01-19,2026-01-20,1541,28.05,0.23568281938326008,0.04634581105169344,0.05,0.002317290552584672
2026-01-19,2026-01-20,1517,13.45,0.23394495412844019,-0.044609665427509215,0.05,-0.002230483271375461
2026-01-19,2026-01-20,1526,20.55,0.2305389221556886,0.0997566909975669,0.05,0.004987834549878345
2026-01-19,2026-01-20,1303,79.4,0.2272024729520865,-0.03778337531486142,0.05,-0.0018891687657430713
2026-01-19,2026-01-20,1514,120.0,0.21212121212121215,0.05833333333333335,0.05,0.0029166666666666677
2026-01-19,2026-01-20,2337,73.7,0.20424836601307184,0.042062415196743475,0.05,0.0021031207598371736
2026-01-19,2026-01-20,2025,14.0,0.19658119658119655,-0.042857142857142816,0.05,-0.002142857142857141
2026-01-19,2026-01-20,2327,295.5,0.19393939393939386,-0.02030456852791873,0.05,-0.0010152284263959365
2026-01-19,2026-01-20,1540,27.3,0.19213973799126638,0.005494505494505475,0.05,0.00027472527472527375
2026-01-19,2026-01-20,1524,35.15,0.1835016835016834,-0.017069701280227667,0.05,-0.0008534850640113834
