date,candidate_rows,selected_count,avg_mom_5d
2026-01-09,262,0,
2026-01-12,263,0,
2026-01-13,263,0,
2026-01-14,263,0,
2026-01-15,264,0,
2026-01-16,263,20,0.22082659326703924
2026-01-19,263,20,0.2559813806745115
2026-01-20,263,20,0.26262248990162745
2026-01-21,264,20,0.21604864334559362
2026-01-22,264,20,0.1932513418516851
2026-01-23,262,20,0.14436129445774448
2026-01-26,264,20,0.13978976026888787
2026-01-27,263,20,0.13600018034274902
2026-01-28,263,20,0.16227180232706023
2026-01-29,264,20,0.14162210513578294
2026-01-30,263,20,0.11540046408878554
2026-02-02,263,20,0.06162052146411621
2026-02-03,264,20,0.06717288403364811
2026-02-05,262,20,0.06482961377745543
2026-02-06,263,20,0.04708509516620084
2026-02-09,261,20,0.07948162111659537
2026-02-10,264,20,0.09284668131039722
2026-02-11,264,20,0.0947181117806685
2026-02-23,264,20,0.13043755815636604
2026-02-24,264,20,0.20833740625239497
2026-02-25,264,20,0.1999462085460118
2026-02-26,264,20,0.2256778017956897
2026-03-02,264,20,0.23428262073496317
2026-03-03,264,20,0.15151778032858357
2026-03-04,264,20,0.07815317893275864
2026-03-05,264,20,0.08089709459100661
2026-03-06,264,20,0.08820320414504315
2026-03-09,264,20,0.08426086083898
2026-03-10,264,20,0.045350859298319876
2026-03-11,263,20,0.12826202069689668
2026-03-12,264,20,0.1317709143370767
2026-03-13,264,20,0.12000856670102325
2026-03-16,264,20,0.2165860365712505
2026-03-17,264,20,0.22782808585904823
2026-03-18,264,20,0.2028613843936621
2026-03-19,264,20,0.2004964371037457
2026-03-20,264,20,0.20737568368944323
2026-03-23,264,20,0.16135749078270414
2026-03-24,263,20,0.11814168500405171
2026-03-25,264,20,0.0873669520033097
2026-03-26,264,20,0.09746233838551402
2026-03-27,264,20,0.11351724050427496
2026-03-30,265,20,0.1374330210432039
2026-03-31,265,20,0.12726573645440215
2026-04-01,265,20,0.11617607360475199
2026-04-02,265,20,0.09033593206228481
2026-04-07,264,20,0.07368882241135402
2026-04-08,263,20,0.11321493422724113
2026-04-09,263,20,0.17354910821007366
