engine,rows,symbols,avg_trade_ret,win_rate,loss_rate,avg_wret
A,372,118,-0.0019121558511020025,0.3790322580645161,0.5376344086021505,-8.083214217651237e-05
B,179,37,0.0008459378180598124,0.39106145251396646,0.43575418994413406,0.0008288419732433094
