date,daily_ret,nav,holdings,avg_exposure
2026-01-09,0.0,97000.0,0,0.0
2026-01-12,0.0,97000.0,0,0.0
2026-01-13,0.0,97000.0,0,0.0
2026-01-14,0.0,97000.0,0,0.0
2026-01-15,0.0,97000.0,0,0.0
2026-01-16,0.05728084224234849,102556.24169750781,20,1.0000000000000002
2026-01-19,0.060423437071513694,108753.04231400813,20,1.0000000000000002
2026-01-20,0.02654562489433035,111639.95978139302,20,1.0000000000000002
2026-01-21,0.017961284267817786,113645.15683467437,20,1.0000000000000002
2026-01-22,0.01452312470024142,115295.63961896286,20,1.0000000000000002
2026-01-23,0.0192648503381459,117516.79286086297,20,1.0000000000000002
2026-01-26,0.032013469210572555,121278.91309083943,20,1.0000000000000002
2026-01-27,0.034551975304232166,125469.33910087825,20,1.0000000000000002
2026-01-28,0.04222032050903997,130766.69481177474,20,1.0000000000000002
2026-01-29,0.01717300147165225,133012.35145422045,20,1.0000000000000002
2026-01-30,0.008594036936472156,134155.46451562503,20,1.0000000000000002
2026-02-02,-0.003181783975068259,133728.61080846138,20,1.0000000000000002
2026-02-03,0.020026984585905766,136406.79163581703,20,1.0000000000000002
2026-02-05,0.02304244949795308,139549.93824326317,20,1.0000000000000002
2026-02-06,0.006242384520501616,140421.06261758987,20,1.0000000000000002
2026-02-09,0.030755880632669663,144739.8360577691,20,1.0000000000000002
2026-02-10,0.02215411205731105,147946.41860494975,20,1.0000000000000002
2026-02-11,0.0299029794870471,152370.45732567564,20,1.0000000000000002
2026-02-23,0.05826810091344444,161248.7945093558,20,1.0000000000000002
2026-02-24,0.0643579048815676,171626.42908865635,20,1.0000000000000002
2026-02-25,0.030088258733327572,176790.36949255294,20,1.0000000000000002
2026-02-26,0.03132921087187147,182329.0722585012,20,1.0000000000000002
2026-03-02,0.03881874493496501,189406.85800873276,20,1.0000000000000002
2026-03-03,0.0026913870697198084,189916.62517729372,20,1.0000000000000002
2026-03-04,-0.02371161246701351,185413.39576004667,20,1.0000000000000002
2026-03-05,0.025131993674350414,190073.204049428,20,1.0000000000000002
2026-03-06,0.05203449844838453,199963.5678906174,20,1.0000000000000002
2026-03-09,0.022965141366542697,204555.75949538368,20,1.0000000000000002
2026-03-10,0.016080635258530727,207845.1460538607,20,1.0000000000000002
2026-03-11,0.062074035099665706,220746.9329453032,20,1.0000000000000002
2026-03-12,0.042116454790291934,230044.01116678969,20,1.0000000000000002
2026-03-13,0.03209826067941266,237428.02380495903,20,1.0000000000000002
2026-03-16,0.0466865873861095,248512.72798624053,20,1.0000000000000002
2026-03-17,0.0384756294978877,258074.41163374844,20,1.0000000000000002
2026-03-18,0.039786929074959926,268342.39994548244,20,1.0000000000000002
2026-03-19,0.026069818332896986,275338.03756307473,20,1.0000000000000002
2026-03-20,0.03976765892375256,286287.58672961843,20,1.0000000000000002
2026-03-23,0.0016383094120633551,286756.61437751446,20,1.0000000000000002
2026-03-24,0.0006322646050434691,286937.9204350474,20,1.0000000000000002
2026-03-25,0.0048358207104676415,288325.5007733058,20,1.0000000000000002
2026-03-26,0.03077779963494046,297199.5252657505,20,1.0000000000000002
2026-03-27,0.03873616867665242,308711.8962070656,20,1.0000000000000002
2026-03-30,0.041824212758271695,321623.52823503944,20,1.0000000000000002
2026-03-31,-0.004935198272363993,320036.25235414226,20,1.0000000000000002
2026-04-01,0.0059788416007813755,321949.69841347536,20,1.0000000000000002
2026-04-02,0.02113064221277383,328752.70230116096,20,1.0000000000000002
2026-04-07,0.02510206851914787,337005.0751601797,20,1.0000000000000002
2026-04-08,0.05717406454190388,356273.025078337,20,1.0000000000000002
2026-04-09,0.019313234522760733,363153.80956580833,20,1.0000000000000002
