signal_date,date,daily_ret,nav,holdings,avg_exposure
2026-01-16,2026-01-19,0.03814533619021507,100700.09761045086,20,1.0000000000000002
2026-01-19,2026-01-20,0.012653802336447759,101974.3367408745,20,1.0000000000000002
2026-01-20,2026-01-21,-0.015605761391744723,100382.94957361498,20,1.0000000000000002
2026-01-21,2026-01-22,-0.013277027782400974,99050.16236324674,20,1.0000000000000002
2026-01-22,2026-01-23,-0.022251149152445356,96846.18242692821,20,1.0000000000000002
2026-01-23,2026-01-26,0.016241578295230815,98419.11728140936,20,1.0000000000000002
2026-01-26,2026-01-27,-0.005496588570018558,97878.14788628905,20,1.0000000000000002
2026-01-27,2026-01-28,0.01337743388258536,99187.5063381878,20,1.0000000000000002
2026-01-28,2026-01-29,-0.018998022111251324,97303.13989961502,20,1.0000000000000002
2026-01-29,2026-01-30,-0.02363558252998259,95003.32350609124,20,1.0000000000000002
2026-01-30,2026-02-02,-0.02794961672400624,92348.01702658922,20,1.0000000000000002
2026-02-02,2026-02-03,-0.012564193120965178,91187.73870632898,20,1.0000000000000002
2026-02-03,2026-02-05,0.0027058089153882245,91434.47530269466,20,1.0000000000000002
2026-02-05,2026-02-06,-0.02132714006337605,89484.43944129278,20,1.0000000000000002
2026-02-06,2026-02-09,0.011704491440906618,90531.80929682772,20,1.0000000000000002
2026-02-09,2026-02-10,0.009177636341545371,91362.67731989615,20,1.0000000000000002
2026-02-10,2026-02-11,0.010358920700963066,92309.09604928063,20,1.0000000000000002
2026-02-11,2026-02-23,0.015843276064072265,93771.57454121436,20,1.0000000000000002
2026-02-23,2026-02-24,0.047932301327298046,98266.26190805904,20,1.0000000000000002
2026-02-24,2026-02-25,0.00903310663453067,99153.91153045125,20,1.0000000000000002
2026-02-25,2026-02-26,0.008991924370792855,100045.49600400135,20,1.0000000000000002
2026-02-26,2026-03-02,0.005529737561041593,100598.72134106772,20,1.0000000000000002
2026-03-02,2026-03-03,-0.03554022965227238,97023.41968188122,20,1.0000000000000002
2026-03-03,2026-03-04,-0.04179987876909899,92967.85250141517,20,1.0000000000000002
2026-03-04,2026-03-05,0.007209655325107873,93638.11867426585,20,1.0000000000000002
2026-03-05,2026-03-06,0.015214100092501572,95062.73838424968,20,1.0000000000000002
2026-03-06,2026-03-09,-0.014420797598816398,93691.85787482117,20,1.0000000000000002
2026-03-09,2026-03-10,-0.02998172789574528,90882.81408597145,20,1.0000000000000002
2026-03-10,2026-03-11,0.026724419155555103,93311.60450364134,20,1.0000000000000002
2026-03-11,2026-03-12,0.006579312214259754,93925.53068288432,20,1.0000000000000002
2026-03-12,2026-03-13,0.016874188939730295,95510.44783389175,20,1.0000000000000002
2026-03-13,2026-03-16,0.0180957296018131,97238.77907204194,20,1.0000000000000002
2026-03-16,2026-03-17,0.03139050386576962,100291.1533424056,20,1.0000000000000002
2026-03-17,2026-03-18,0.02943454750964169,103243.17806025938,20,1.0000000000000002
2026-03-18,2026-03-19,0.006503575162463282,103914.62782878586,20,1.0000000000000002
2026-03-19,2026-03-20,-0.007425617275410696,103142.99757321256,20,1.0000000000000002
2026-03-20,2026-03-23,-0.03716210801509358,99309.9863563963,20,1.0000000000000002
2026-03-23,2026-03-24,-0.024266731357273065,96900.05759639118,20,1.0000000000000002
2026-03-24,2026-03-25,-0.012435362410671242,95695.07026256515,20,1.0000000000000002
2026-03-25,2026-03-26,0.018599955010793732,97474.9942642036,20,1.0000000000000002
2026-03-26,2026-03-27,0.013888899732658335,98828.81468598057,20,1.0000000000000002
2026-03-27,2026-03-30,0.017119230552657932,100520.68794983579,20,1.0000000000000002
2026-03-30,2026-03-31,-0.03275851292796239,97227.77969410342,20,1.0000000000000002
2026-03-31,2026-04-01,0.0018209501334372769,97404.82663251119,20,1.0000000000000002
2026-04-01,2026-04-02,-0.008990578696918095,96529.10087321194,20,1.0000000000000002
2026-04-02,2026-04-07,0.0021538471765007177,96737.00980457787,20,1.0000000000000002
2026-04-07,2026-04-08,-0.0015242718375154485,96589.5563048873,20,1.0000000000000002
2026-04-08,2026-04-09,0.003000172134616996,96879.34160020824,20,1.0000000000000002
