date,symbol,close,mom_5d,ret_1d,weight,wret
2026-01-16,2312,33.7,0.47807017543859653,0.012012012012012185,0.05,0.0006006006006006094
2026-01-16,1721,20.6,0.3420195439739415,0.09866666666666668,0.05,0.004933333333333335
2026-01-16,1717,67.3,0.3093385214007782,0.0029806259314455463,0.05,0.00014903129657227733
2026-01-16,1528,28.35,0.2915717539863327,0.09883720930232553,0.05,0.004941860465116277
2026-01-16,2371,38.85,0.2451923076923077,0.025065963060686203,0.05,0.0012532981530343102
2026-01-16,2313,142.0,0.22943722943722933,0.007092198581560183,0.05,0.00035460992907800917
2026-01-16,1540,28.0,0.22807017543859653,0.06870229007633588,0.05,0.0034351145038167942
2026-01-16,1809,22.75,0.21333333333333337,0.09903381642512077,0.05,0.004951690821256039
2026-01-16,1536,64.7,0.19814814814814818,0.08922558922558932,0.05,0.004461279461279466
2026-01-16,2367,36.65,0.19771241830065356,-0.0121293800539084,0.05,-0.0006064690026954201
2026-01-16,1802,41.8,0.19428571428571417,0.09999999999999987,0.05,0.004999999999999994
2026-01-16,1303,73.8,0.19224555735056548,0.05882352941176472,0.05,0.002941176470588236
2026-01-16,2025,14.05,0.19067796610169485,0.05243445692883908,0.05,0.0026217228464419542
2026-01-16,2327,283.0,0.17184265010351973,0.034734917733089565,0.05,0.0017367458866544784
2026-01-16,1514,114.0,0.16564417177914104,0.09615384615384626,0.05,0.004807692307692313
2026-01-16,1617,16.8,0.16262975778546718,0.040247678018576094,0.05,0.0020123839009288046
2026-01-16,1795,337.5,0.15384615384615374,0.05965463108320246,0.05,0.002982731554160123
2026-01-16,2375,104.5,0.1534216335540839,0.0641547861507128,0.05,0.00320773930753564
2026-01-16,1539,19.6,0.14956011730205288,0.0980392156862746,0.05,0.004901960784313731
2026-01-16,1529,22.3,0.14948453608247436,0.051886792452830344,0.05,0.0025943396226415175
2026-01-19,1721,22.05,0.4364820846905537,0.07038834951456296,0.05,0.0035194174757281482
2026-01-19,2312,35.4,0.4131736526946106,0.05044510385756662,0.05,0.002522255192878331
2026-01-19,1528,31.15,0.38752783964365256,0.09876543209876543,0.05,0.0049382716049382715
2026-01-19,1802,45.95,0.31850789096126264,0.09928229665071786,0.05,0.004964114832535893
2026-01-19,1717,70.3,0.29944547134935307,0.04457652303120363,0.05,0.0022288261515601817
2026-01-19,1809,25.0,0.2953367875647668,0.098901098901099,0.05,0.00494505494505495
2026-01-19,1539,21.55,0.26392961876832843,0.09948979591836737,0.05,0.004974489795918369
2026-01-19,2371,40.15,0.23728813559322015,0.03346203346203347,0.05,0.0016731016731016735
2026-01-19,1541,28.05,0.23568281938326008,0.1,0.05,0.005000000000000001
2026-01-19,1517,13.45,0.23394495412844019,0.09795918367346923,0.05,0.004897959183673462
2026-01-19,1526,20.55,0.2305389221556886,0.09893048128342263,0.05,0.004946524064171132
2026-01-19,1303,79.4,0.2272024729520865,0.07588075880758827,0.05,0.0037940379403794133
2026-01-19,1514,120.0,0.21212121212121215,0.05263157894736836,0.05,0.0026315789473684184
2026-01-19,2337,73.7,0.20424836601307184,0.1,0.05,0.005000000000000001
2026-01-19,2025,14.0,0.19658119658119655,-0.003558718861210064,0.05,-0.00017793594306050322
2026-01-19,2327,295.5,0.19393939393939386,0.044169611307420586,0.05,0.0022084805653710296
2026-01-19,1540,27.3,0.19213973799126638,-0.025000000000000022,0.05,-0.0012500000000000011
2026-01-19,1524,35.15,0.1835016835016834,0.06676783004552345,0.05,0.0033383915022761725
2026-01-19,1617,17.15,0.18275862068965498,0.02083333333333326,0.05,0.001041666666666663
2026-01-19,1536,63.7,0.17527675276752763,-0.015455950540958274,0.05,-0.0007727975270479138
2026-01-20,1802,50.5,0.4831130690161529,0.09902067464635467,0.05,0.004951033732317734
2026-01-20,1809,27.5,0.43229166666666674,0.1,0.05,0.005000000000000001
2026-01-20,1528,31.7,0.43115124153498874,0.017656500802568198,0.05,0.00088282504012841
2026-01-20,1526,22.6,0.35735735735735763,0.0997566909975669,0.05,0.004987834549878345
2026-01-20,1721,20.85,0.3451612903225807,-0.05442176870748294,0.05,-0.0027210884353741473
2026-01-20,1541,29.35,0.3102678571428572,0.04634581105169344,0.05,0.002317290552584672
2026-01-20,1514,127.0,0.2828282828282829,0.05833333333333335,0.05,0.0029166666666666677
2026-01-20,2312,34.95,0.2686025408348458,-0.012711864406779516,0.05,-0.0006355932203389758
2026-01-20,2337,76.8,0.26108374384236455,0.042062415196743475,0.05,0.0021031207598371736
2026-01-20,1303,76.4,0.22829581993569126,-0.03778337531486142,0.05,-0.0018891687657430713
2026-01-20,1539,20.65,0.21114369501466257,-0.04176334106728552,0.05,-0.0020881670533642763
2026-01-20,1513,176.5,0.20068027210884343,0.09968847352024923,0.05,0.004984423676012462
2026-01-20,2371,42.75,0.19915848527349223,0.06475716064757164,0.05,0.003237858032378582
2026-01-20,1540,27.45,0.1883116883116882,0.005494505494505475,0.05,0.00027472527472527375
2026-01-20,1617,17.15,0.18275862068965498,0.0,0.05,0.0
2026-01-20,2329,69.9,0.1807432432432432,0.027941176470588358,0.05,0.001397058823529418
2026-01-20,1717,69.9,0.1747899159663866,-0.005689900426742445,0.05,-0.00028449502133712223
2026-01-20,1536,63.5,0.17375231053604434,-0.0031397174254317317,0.05,-0.0001569858712715866
2026-01-20,1524,34.55,0.17118644067796596,-0.017069701280227667,0.05,-0.0008534850640113834
2026-01-20,1789,28.25,0.1697722567287785,0.04243542435424352,0.05,0.002121771217712176
2026-01-21,1802,54.0,0.5629522431259046,0.06930693069306937,0.05,0.0034653465346534684
2026-01-21,1809,28.4,0.41999999999999993,0.032727272727272716,0.05,0.0016363636363636359
2026-01-21,1526,23.55,0.39349112426035515,0.042035398230088505,0.05,0.002101769911504425
2026-01-21,1514,139.5,0.2857142857142858,0.09842519685039375,0.05,0.004921259842519688
2026-01-21,1528,30.3,0.24948453608247423,-0.04416403785488954,0.05,-0.0022082018927444768
2026-01-21,1541,28.7,0.24782608695652164,-0.022146507666098825,0.05,-0.0011073253833049413
2026-01-21,2337,73.3,0.21963394342762066,-0.04557291666666663,0.05,-0.0022786458333333317
