stock_id,stock_name,close,volume,turnover,date,liquidity_level,liquidity_tag,liquidity_score
1101,,24.450000762939453,28118.446,687496026.1526718,2026-04-24,HIGH,高流動性,92.84
1102,,35.900001525878906,6659.445,239074085.66150662,2026-04-24,HIGH,高流動性,84.52
1103,,13.550000190734863,101.9,1380745.0194358826,2026-04-24,BLOCK,流動性不足,24.6
1104,,28.600000381469727,1142.389,32672325.83578682,2026-04-24,MEDIUM,中流動性,65.04
1108,,14.550000190734863,139.0,2022450.026512146,2026-04-24,BLOCK,流動性不足,29.65
1109,,15.399999618530272,141.028,2171831.146202087,2026-04-24,BLOCK,流動性不足,30.11
1110,,14.949999809265137,303.0,4529849.942207336,2026-04-24,BLOCK,流動性不足,40.87
1201,,12.899999618530272,546.577,7050843.09149742,2026-04-24,MEDIUM,中流動性,48.88
1203,,44.09999847412109,13.03,574622.9801177977,2026-04-24,BLOCK,流動性不足,8.77
1210,,53.09999847412109,2057.425,109249264.36061859,2026-04-24,HIGH,高流動性,74.5
1213,,9.029999732971191,23.0,207689.9938583374,2026-04-24,BLOCK,流動性不足,7.9
1215,,140.0,1148.786,160830040.0,2026-04-24,HIGH,高流動性,72.67
1216,,71.5,11196.181,800526941.5000001,2026-04-24,HIGH,高流動性,91.08
1217,,10.050000190734863,1048.01,10532500.699892044,2026-04-24,MEDIUM,中流動性,56.4
1218,,18.799999237060547,457.774,8606150.850746155,2026-04-24,MEDIUM,中流動性,48.57
1219,,13.600000381469728,326.609,4441882.524591446,2026-04-24,BLOCK,流動性不足,41.48
1220,,12.449999809265137,48.1,598844.9908256531,2026-04-24,BLOCK,流動性不足,14.99
1225,,31.5,131.02,4127130.0,2026-04-24,BLOCK,流動性不足,33.63
1227,,29.200000762939453,955.86,27911112.729263306,2026-04-24,MEDIUM,中流動性,62.98
1229,,42.5,4055.525,172359812.5,2026-04-24,HIGH,高流動性,80.67
1231,,86.9000015258789,444.325,38611843.177986145,2026-04-24,MEDIUM,中流動性,58.29
1232,,149.0,77.2,11502800.000000002,2026-04-24,BLOCK,流動性不足,36.33
1233,,28.600000381469727,19.148,547632.8073043823,2026-04-24,BLOCK,流動性不足,10.2
1234,,35.45000076293945,113.012,4006275.486221314,2026-04-24,BLOCK,流動性不足,32.3
1235,,44.900001525878906,5.0,224500.00762939453,2026-04-24,BLOCK,流動性不足,4.08
1236,,25.549999237060547,30.0,766499.9771118164,2026-04-24,BLOCK,流動性不足,13.35
1240,茂生農經,59.6,19.792,1179603.2,2026-05-01,BLOCK,流動性不足,13.26
1256,,158.0,21.154,3342332.0,2026-04-24,BLOCK,流動性不足,20.58
1259,安心,57.6,2.13,122688.0,2026-05-01,BLOCK,流動性不足,2.47
1264,德麥,273.5,11.331,3099028.5,2026-05-01,BLOCK,流動性不足,17.82
1268,漢來美食,155.0,11.192,1734760.0,2026-05-01,BLOCK,流動性不足,13.95
1294,漢田生技,79.6,34.12,2715952.0,2026-05-01,BLOCK,流動性不足,21.72
1295,生合,55.0,209.908,11544939.999999998,2026-05-01,BLOCK,流動性不足,44.31
1301,,50.20000076293945,25838.31,1297083181.713066,2026-04-24,HIGH,高流動性,94.49
1303,,85.9000015258789,54353.32,4668950270.936584,2026-04-24,HIGH,高流動性,98.16
1304,,14.399999618530272,14545.128,209449837.651474,2026-04-24,HIGH,高流動性,86.54
1305,,14.75,8805.24,129877290.0,2026-04-24,HIGH,高流動性,82.84
1307,,31.700000762939453,827.148,26220592.231063846,2026-04-24,MEDIUM,中流動性,61.35
1308,,15.399999618530272,5144.443,79224420.23755074,2026-04-24,HIGH,高流動性,78.33
1309,,20.5,38704.254,793437207.0,2026-04-24,HIGH,高流動性,93.75
1310,,9.770000457763672,5363.004,52396551.5349884,2026-04-24,HIGH,高流動性,76.62
1312,,12.699999809265137,6464.008,82092900.3670883,2026-04-24,HIGH,高流動性,79.32
1313,,11.550000190734863,3338.077,38554789.98668766,2026-04-24,HIGH,高流動性,72.26
1314,,7.420000076293945,17083.188,126757256.2633438,2026-04-24,HIGH,高流動性,84.57
1315,,62.59999847412109,100.101,6266322.447257995,2026-04-24,BLOCK,流動性不足,34.24
1316,,11.100000381469728,2878.104,31946955.49790955,2026-04-24,MEDIUM,中流動性,70.86
1319,,75.19999694824219,1446.42,108770779.58587648,2026-04-24,HIGH,高流動性,72.21
1321,,31.39999961853028,279.601,8779471.293340685,2026-04-24,BLOCK,流動性不足,44.34
1323,,22.25,1227.959,27322087.750000004,2026-04-24,MEDIUM,中流動性,64.66
1324,,10.75,129.0,1386750.0,2026-04-24,BLOCK,流動性不足,26.49
1325,,25.850000381469727,477.05,12331742.681980133,2026-04-24,MEDIUM,中流動性,51.76
