engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret
B,2026-01-16,2026-01-19,2312,TWSE,33.7,0.47807017543859653,0.039052146336323916,0.05044510385756662,0.16666666666666666,0.049999999999999996,0.0025222551928783307
B,2026-01-16,2026-01-19,1717,TWSE,67.3,0.3093385214007782,0.043665862698366566,0.04457652303120363,0.16666666666666666,0.049999999999999996,0.0022288261515601812
B,2026-01-16,2026-01-19,2371,TWSE,38.85,0.2451923076923077,0.03404981605545254,0.03346203346203347,0.16666666666666666,0.049999999999999996,0.0016731016731016733
B,2026-01-16,2026-01-19,2313,TWSE,142.0,0.22943722943722933,0.047751351998456516,0.010563380281690238,0.16666666666666666,0.049999999999999996,0.0005281690140845119
B,2026-01-16,2026-01-19,1540,TWSE,28.0,0.22807017543859653,0.04079558378250541,-0.025000000000000022,0.16666666666666666,0.049999999999999996,-0.0012500000000000011
B,2026-01-16,2026-01-19,1536,TWSE,64.7,0.19814814814814818,0.04159981920209657,-0.015455950540958274,0.16666666666666666,0.049999999999999996,-0.0007727975270479136
B,2026-01-19,2026-01-20,1721,TWSE,22.05,0.4364820846905537,0.03895188661035572,-0.05442176870748294,0.16666666666666666,0.049999999999999996,-0.002721088435374147
B,2026-01-19,2026-01-20,2312,TWSE,35.4,0.4131736526946106,0.03980955585202996,-0.012711864406779516,0.16666666666666666,0.049999999999999996,-0.0006355932203389757
B,2026-01-19,2026-01-20,1717,TWSE,70.3,0.29944547134935307,0.043972527172503835,-0.005689900426742445,0.16666666666666666,0.049999999999999996,-0.00028449502133712223
B,2026-01-19,2026-01-20,2371,TWSE,40.15,0.23728813559322015,0.03442817143486333,0.06475716064757164,0.16666666666666666,0.049999999999999996,0.0032378580323785817
B,2026-01-19,2026-01-20,1303,TWSE,79.4,0.2272024729520865,0.05416663445836339,-0.03778337531486142,0.16666666666666666,0.049999999999999996,-0.001889168765743071
B,2026-01-19,2026-01-20,2025,TWSE,14.0,0.19658119658119655,0.04203895110522205,-0.042857142857142816,0.16666666666666666,0.049999999999999996,-0.002142857142857141
B,2026-01-20,2026-01-21,1528,TWSE,31.7,0.43115124153498874,0.03512926909564916,-0.04416403785488954,0.16666666666666666,0.049999999999999996,-0.0022082018927444768
B,2026-01-20,2026-01-21,1541,TWSE,29.35,0.3102678571428572,0.0417764107611332,-0.022146507666098825,0.16666666666666666,0.049999999999999996,-0.001107325383304941
B,2026-01-20,2026-01-21,1514,TWSE,127.0,0.2828282828282829,0.056257254755502556,0.09842519685039375,0.16666666666666666,0.049999999999999996,0.004921259842519687
B,2026-01-20,2026-01-21,2312,TWSE,34.95,0.2686025408348458,0.0506446219063777,-0.03433476394849788,0.16666666666666666,0.049999999999999996,-0.001716738197424894
B,2026-01-20,2026-01-21,1512,TWSE,9.17,0.26308539944903586,0.04598300177513342,-0.037077426390403456,0.16666666666666666,0.049999999999999996,-0.0018538713195201727
B,2026-01-20,2026-01-21,2337,TWSE,76.8,0.26108374384236455,0.04467974026576718,-0.04557291666666663,0.16666666666666666,0.049999999999999996,-0.0022786458333333313
B,2026-01-21,2026-01-22,1809,TWSE,28.4,0.41999999999999993,0.03585886008130083,-0.07394366197183089,0.16666666666666666,0.049999999999999996,-0.003697183098591544
B,2026-01-21,2026-01-22,1526,TWSE,23.55,0.39349112426035515,0.04332667910433414,-0.05732484076433131,0.16666666666666666,0.049999999999999996,-0.002866242038216565
B,2026-01-21,2026-01-22,1528,TWSE,30.3,0.24948453608247423,0.060878735240979594,-0.07590759075907594,0.16666666666666666,0.049999999999999996,-0.0037953795379537967
B,2026-01-21,2026-01-22,1541,TWSE,28.7,0.24782608695652164,0.05425516944988624,-0.06445993031358876,0.16666666666666666,0.049999999999999996,-0.003222996515679438
B,2026-01-21,2026-01-22,2337,TWSE,73.3,0.21963394342762066,0.05658925624804656,0.0013642564802183177,0.16666666666666666,0.049999999999999996,6.821282401091587e-05
B,2026-01-21,2026-01-22,1512,TWSE,8.83,0.2046384720327421,0.05883756154065942,-0.04869762174405434,0.16666666666666666,0.049999999999999996,-0.002434881087202717
B,2026-01-22,2026-01-23,1514,TWSE,140.5,0.35096153846153855,0.03741496493567831,0.014234875444839812,0.16666666666666666,0.049999999999999996,0.0007117437722419905
B,2026-01-22,2026-01-23,1802,TWSE,51.2,0.34736842105263155,0.06560012266145865,-0.02734375000000011,0.16666666666666666,0.049999999999999996,-0.0013671875000000053
B,2026-01-22,2026-01-23,1526,TWSE,22.2,0.3058823529411765,0.0684267764724631,-0.04504504504504503,0.16666666666666666,0.049999999999999996,-0.0022522522522522514
B,2026-01-22,2026-01-23,1513,TWSE,184.0,0.2185430463576159,0.040288308877818556,0.0,0.16666666666666666,0.049999999999999996,0.0
B,2026-01-22,2026-01-23,1445,TWSE,14.6,0.18699186991869898,0.03897757532630185,-0.023972602739726012,0.16666666666666666,0.049999999999999996,-0.0011986301369863006
B,2026-01-22,2026-01-23,2337,TWSE,73.4,0.18578352180936997,0.05945300013133052,-0.0558583106267031,0.16666666666666666,0.049999999999999996,-0.0027929155313351547
B,2026-01-23,2026-01-26,1514,TWSE,142.5,0.25,0.036950223396470146,-0.024561403508771895,0.16666666666666666,0.049999999999999996,-0.0012280701754385946
B,2026-01-23,2026-01-26,1337,TWSE,5.82,0.21757322175732208,0.05432414616884644,-0.037800687285223455,0.16666666666666666,0.049999999999999996,-0.0018900343642611725
B,2026-01-23,2026-01-26,1802,TWSE,49.8,0.19138755980861255,0.07211418824157084,0.04016064257028118,0.16666666666666666,0.049999999999999996,0.0020080321285140586
