trade_date,daily_ret,holdings,gross_exposure,nav,cum_return,drawdown
2026-01-19,0.0094388255566549,8,0.2624999999999995,100943.88255566549,0.009438825556654873,0.0
2026-01-20,-0.0020908578545718996,8,0.2624999999999997,100732.82324595298,0.007328232459529849,-0.0020908578545719703
2026-01-21,0.0009713697777006427,8,0.2624999999999997,100830.67206607657,0.008306720660765654,-0.0011215190730007318
2026-01-22,-0.011488585127387164,8,0.26249999999999973,99672.2703065938,-0.0032772969340619795,-0.0125972195330456
2026-01-23,-0.0034221098361000993,8,0.2624999999999995,99331.18084999116,-0.006688191500088481,-0.015976220300274346
2026-01-26,-0.0018395478053278,8,0.2624999999999995,99148.45639425794,-0.008515436057420556,-0.017786379084611337
2026-01-27,0.001963715267752601,8,0.2624999999999997,99343.15573185343,-0.006568442681465725,-0.015857591201025367
2026-01-28,-0.0099377337118796,8,0.2624999999999997,98355.90990409249,-0.016440900959075133,-0.025637736394237276
2026-01-29,-0.0071366406180754,8,0.2624999999999996,97653.9791224432,-0.02346020877556798,-0.03259140970140595
2026-01-30,-0.00041392533667028236,8,0.2624999999999996,97613.55766625775,-0.023864423337422447,-0.03299184462784288
2026-02-02,-0.0098037986471933,8,0.2624999999999996,96656.57400166156,-0.03343425998338445,-0.04247219787330547
2026-02-03,-0.0014226453171,8,0.2624999999999996,96519.06597929118,-0.03480934020708826,-0.043834420316993916
2026-02-05,0.00045935171230439986,8,0.2624999999999997,96563.40217751877,-0.034365978224812244,-0.04339520402072017
2026-02-06,-0.0031884665162943996,8,0.2624999999999998,96255.51300297628,-0.037444869970237216,-0.04644530638202682
2026-02-09,0.0059001562308857,8,0.2624999999999996,96823.4355677779,-0.031765644322221065,-0.040819184714986356
2026-02-10,0.0052292043945921,8,0.5999999999999998,97329.74510254842,-0.02670254897451585,-0.035803432180489536
2026-02-11,-0.002377772034872116,8,0.5999999999999998,97098.31715648236,-0.02901682843517639,-0.0380960718155704
2026-02-23,0.011661927076828197,8,0.5999999999999996,98230.67065044398,-0.01769329349556026,-0.02687841835016913
2026-02-24,0.0065127687287339,8,0.5999999999999996,98870.42429045873,-0.01129575709541275,-0.020540702543944245
2026-02-25,-0.0001467517498127996,8,0.5999999999999996,98855.91488268938,-0.011440851173106226,-0.020684439909716246
2026-02-26,0.0054545239953073,8,0.5999999999999998,99395.12684249505,-0.006048731575049482,-0.015342739688226081
2026-03-02,0.030447693043766502,8,0.5999999999999994,102421.47915464157,0.024214791546415704,0.0
2026-03-03,-0.002219853337591807,8,0.6000000000000001,102194.11849229905,0.021941184922990464,-0.0022198533375917817
2026-03-04,-0.0278488465555672,8,0.5999999999999996,99348.13016752557,-0.0065186983247442765,-0.030006879538184483
2026-03-05,0.0004376476371985746,8,0.2624999999999996,99391.60964195347,-0.0060839035804652886,-0.029582364340915546
2026-03-06,0.03510043376062454,8,0.5999999999999998,102880.29825255269,0.028802982525526932,0.0
2026-03-09,-0.015738784642213198,8,0.5999999999999995,101261.0873944291,0.012610873944290946,-0.015738784642213233
2026-03-10,-0.015495756693485952,8,0.2624999999999995,99691.9702216472,-0.003080297783527919,-0.03099065695823222
2026-03-11,0.006583320870484772,8,0.2624999999999995,100348.27444982712,0.0034827444982712397,-0.024611357526490685
2026-03-12,-0.0013347104430462002,8,0.5999999999999996,100214.33855997727,0.0021433855997727846,-0.025913218933628746
2026-03-13,0.0051794225181703,8,0.5999999999999998,100733.39096175837,0.007333909617583734,-0.020868011925121444
2026-03-16,0.007728538416571,8,0.5999999999999995,101511.91284363778,0.01511912843637786,-0.01330075274039122
2026-03-17,0.025325727851179182,8,0.5999999999999998,104082.77592196838,0.040827759219683735,0.0
2026-03-18,0.0269684407908879,8,0.5999999999999998,106889.72610177123,0.06889726101771232,0.0
2026-03-19,0.0043678342801252,8,0.5999999999999996,107356.60271163174,0.07356602711631743,0.0
2026-03-20,0.011380650263011953,8,0.5999999999999996,108578.39066051795,0.08578390660517954,0.0
2026-03-23,-0.0357907196997615,8,0.5999999999999996,104692.29191493614,0.04692291914936142,-0.03579071969976155
2026-03-24,-0.012409471441365413,8,0.5999999999999998,103393.11590828667,0.03393115908286659,-0.04775604722714677
2026-03-25,-0.015312658569935482,8,0.5999999999999996,101809.8924259013,0.01809892425901305,-0.06233743375124334
2026-03-26,0.01883371072267784,8,0.5999999999999996,103727.35048855768,0.03727350488557679,-0.04467776822303038
2026-03-27,0.039553354287602,8,0.5999999999999998,107830.11513174587,0.07830115131745874,-0.006891569530733221
2026-03-30,0.05115073830260965,8,0.5999999999999994,113345.7051319901,0.13345705131990093,0.0
2026-03-31,-0.034623555316598095,8,0.5999999999999996,109421.27384045381,0.09421273840453814,-0.03462355531659811
2026-04-01,0.0008650960432559,8,0.2624999999999996,109515.93375150122,0.09515933751501215,-0.033788411974050025
2026-04-02,0.006479555593229798,8,0.5999999999999995,110225.54833258853,0.1022554833258853,-0.027527790274613162
2026-04-07,-0.003319787763033005,8,0.2624999999999996,109859.6229060604,0.09859622906060395,-0.030756191616349127
2026-04-08,-0.0015007602769927,8,0.5999999999999995,109694.74994795758,0.09694749947957582,-0.03221079422269246
2026-04-09,-0.0083603045789888,8,0.5999999999999995,108777.66842767665,0.08777668427676644,-0.04030180675124839
