window_name,start_date,end_date,trading_days,nonzero_ret_days,avg_holdings,avg_gross_exposure,initial_nav,final_nav,total_return,ann_return,sharpe,mdd,pass_sharpe_gt_1,pass_mdd_gt_-0.20
full_sample,2026-01-12,2026-04-09,53,46,10.39622641509434,0.7075471698113207,100000.0,105341.56649482553,0.05341566494825534,0.28072392068337093,0.6958645786209473,-0.2631286031411485,False,False
last_60d,2026-01-12,2026-04-09,53,46,10.39622641509434,0.7075471698113207,100000.0,105341.56649482553,0.05341566494825534,0.28072392068337093,0.6958645786209473,-0.2631286031411485,False,False
