engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret
A,2026-01-16,2026-01-19,2312,TWSE,33.7,0.47807017543859653,0.039052146336323916,0.05044510385756662,0.08333333333333333,0.05833333333333333,0.0029426310583580526
A,2026-01-16,2026-01-19,2302,TWSE,19.1,0.07909604519774027,0.00876295158637486,0.0732984293193717,0.08333333333333333,0.05833333333333333,0.004275741710296681
A,2026-01-16,2026-01-19,1464,TWSE,11.85,0.06278026905829592,0.007810199056664941,0.0042194092827005925,0.08333333333333333,0.05833333333333333,0.00024613220815753454
A,2026-01-16,2026-01-19,2104,TWSE,12.0,0.09589041095890427,0.011938289204049149,0.04166666666666674,0.08333333333333333,0.05833333333333333,0.0024305555555555595
A,2026-01-16,2026-01-19,1783,TWSE,46.6,0.03901895206243022,0.005333935552242991,0.012875536480686733,0.08333333333333333,0.05833333333333333,0.0007510729613733927
A,2026-01-16,2026-01-19,2371,TWSE,38.85,0.2451923076923077,0.03404981605545254,0.03346203346203347,0.08333333333333333,0.05833333333333333,0.0019519519519519521
A,2026-01-16,2026-01-19,1475,TWSE,33.5,0.056782334384858135,0.008398146107231616,-0.020895522388059806,0.08333333333333333,0.05833333333333333,-0.001218905472636822
A,2026-01-16,2026-01-19,1789,TWSE,26.25,0.1217948717948718,0.01914573273808951,0.0323809523809524,0.08333333333333333,0.05833333333333333,0.0018888888888888898
A,2026-01-16,2026-01-19,1583,TWSE,48.7,0.09684684684684686,0.017484292616691124,0.04312114989733051,0.08333333333333333,0.05833333333333333,0.002515400410677613
A,2026-01-16,2026-01-19,1522,TWSE,51.1,0.1243124312431243,0.023660408108448445,0.017612524461839474,0.08333333333333333,0.05833333333333333,0.0010273972602739692
A,2026-01-16,2026-01-19,1409,TWSE,15.5,0.043771043771043905,0.008383545746463121,0.016129032258064502,0.08333333333333333,0.05833333333333333,0.0009408602150537625
A,2026-01-16,2026-01-19,2327,TWSE,283.0,0.17184265010351973,0.03297514084497543,0.044169611307420586,0.08333333333333333,0.05833333333333333,0.002576560659599534
A,2026-01-19,2026-01-20,2312,TWSE,35.4,0.4131736526946106,0.03980955585202996,-0.012711864406779516,0.08333333333333333,0.05833333333333333,-0.000741525423728805
A,2026-01-19,2026-01-20,2241,TWSE,37.3,0.08905109489051077,0.009662415267708682,-0.02278820375335111,0.08333333333333333,0.05833333333333333,-0.001329311885612148
A,2026-01-19,2026-01-20,1789,TWSE,27.1,0.14587737843551807,0.017967213487841343,0.04243542435424352,0.08333333333333333,0.05833333333333333,0.0024753997539975385
A,2026-01-19,2026-01-20,2104,TWSE,12.5,0.10132158590308382,0.013928822438287684,-0.015999999999999903,0.08333333333333333,0.05833333333333333,-0.0009333333333333276
A,2026-01-19,2026-01-20,1783,TWSE,47.2,0.040793825799338546,0.005659418172441597,-0.01588983050847459,0.08333333333333333,0.05833333333333333,-0.0009269067796610176
A,2026-01-19,2026-01-20,2371,TWSE,40.15,0.23728813559322015,0.03442817143486333,0.06475716064757164,0.08333333333333333,0.05833333333333333,0.0037775010377750122
A,2026-01-19,2026-01-20,1409,TWSE,15.75,0.057046979865771785,0.00832215801446184,-0.01904761904761909,0.08333333333333333,0.05833333333333333,-0.0011111111111111135
A,2026-01-19,2026-01-20,1583,TWSE,50.8,0.12763596004439504,0.020223529148800972,-0.015748031496062964,0.08333333333333333,0.05833333333333333,-0.0009186351706036728
A,2026-01-19,2026-01-20,1464,TWSE,11.9,0.05309734513274322,0.008521635415309564,-0.008403361344537785,0.08333333333333333,0.05833333333333333,-0.0004901960784313708
A,2026-01-19,2026-01-20,2327,TWSE,295.5,0.19393939393939386,0.03296411920441515,-0.02030456852791873,0.08333333333333333,0.05833333333333333,-0.0011844331641285926
A,2026-01-19,2026-01-20,1531,TWSE,12.8,0.0847457627118644,0.0148254078713658,-0.007812500000000111,0.08333333333333333,0.05833333333333333,-0.00045572916666667307
A,2026-01-19,2026-01-20,1455,TWSE,8.12,0.05591677503250958,0.009806558541500683,-0.01231527093596052,0.08333333333333333,0.05833333333333333,-0.0007183908045976969
