date,stock_id,chip_score,chip_label,chip_tags,chip_note,vol_ratio_5,mom5,mom20,near_high_20
2026-04-24,3081,4.0,🟢偏強,🔥短線加速 + 🚀中期強勢,mom5=8.46%；mom20=83.12%,1.378,0.0846,0.8312,0.9338
2026-04-24,3163,3.0,🟢偏強,📈量能強放大 + 🚀中期強勢 + ⚠️量增價弱,量比5日=3.64；mom20=28.62%；量放大但5日動能為負,3.6443,-0.0571,0.2862,0.8919
2026-04-24,3167,4.0,🟢偏強,🚀中期強勢 + 🔺近20日高,mom20=101.43%；近高比=100.00%,1.1124,0.0248,1.0143,1.0
2026-04-24,3189,6.0,🔥強勢加分,🔥短線加速 + 🚀中期強勢 + 🔺近20日高,mom5=34.36%；mom20=49.64%；近高比=100.00%,1.1886,0.3436,0.4964,1.0
2026-04-24,3426,4.0,🟢偏強,📈量能放大 + 🔺近20日高,量比5日=1.65；近高比=99.90%,1.6469,0.0,0.0053,0.999
2026-04-24,4577,6.0,🔥強勢加分,🔥短線加速 + 🚀中期強勢 + 🔺近20日高,mom5=23.02%；mom20=87.63%；近高比=100.00%,0.8902,0.2302,0.8763,1.0
2026-04-24,4741,2.0,普通,📈量能放大 + 🚀中期強勢 + ⚠️量增價弱,量比5日=1.87；mom20=102.19%；量放大但5日動能為負,1.8661,-0.0497,1.0219,0.9008
2026-04-24,4960,4.0,🟢偏強,🔥短線加速 + 🚀中期強勢,mom5=16.84%；mom20=48.41%,0.9757,0.1684,0.4841,0.8799
2026-04-24,4991,4.0,🟢偏強,📈量能放大 + 🚀中期強勢,量比5日=1.56；mom20=36.38%,1.562,-0.097,0.3638,0.8232
2026-04-24,5386,0.0,普通,普通,,0.6546,-0.0341,0.0592,0.8718
2026-04-24,5475,2.0,普通,🚀中期強勢,mom20=58.63%,0.706,-0.0896,0.5863,0.8387
2026-04-24,6147,6.0,🔥強勢加分,🔥短線加速 + 🚀中期強勢 + 🔺近20日高,mom5=26.09%；mom20=104.80%；近高比=100.00%,0.8703,0.2609,1.048,1.0
2026-04-24,6213,2.0,普通,🚀中期強勢,mom20=89.69%,0.3371,0.0203,0.8969,0.9293
2026-04-24,6217,5.0,🟢偏強,🔥短線加速 + 🚀中期強勢 + 🟡接近區間高,mom5=20.90%；mom20=74.56%；近高比=99.49%,0.8515,0.209,0.7456,0.9949
2026-04-24,6683,2.0,普通,🚀中期強勢,mom20=54.66%,1.3603,-0.0241,0.5466,0.9432
2026-04-24,6715,2.0,普通,🚀中期強勢,mom20=32.51%,0.6271,-0.0528,0.3251,0.8613
2026-04-24,6735,6.0,🔥強勢加分,🔥短線加速 + 🚀中期強勢 + 🔺近20日高,mom5=60.08%；mom20=108.40%；近高比=100.00%,0.771,0.6008,1.084,1.0
2026-04-24,6830,2.0,普通,🚀中期強勢,mom20=67.75%,1.2828,-0.1831,0.6775,0.8124
2026-04-24,6861,6.0,🔥強勢加分,🔥短線加速 + 🚀中期強勢 + 🔺近20日高,mom5=60.37%；mom20=72.67%；近高比=100.00%,0.5553,0.6037,0.7267,1.0
2026-04-24,7610,2.0,普通,🚀中期強勢,mom20=54.47%,1.3288,-0.0799,0.5447,0.8761
2026-04-24,7734,8.0,🔥強勢加分,📈量能放大 + 🔥短線加速 + 🚀中期強勢 + 🔺近20日高,量比5日=1.55；mom5=50.30%；mom20=106.30%；近高比=100.00%,1.5489,0.503,1.063,1.0
2026-04-24,7751,8.0,🔥強勢加分,📈量能放大 + 🔥短線加速 + 🚀中期強勢 + 🔺近20日高,量比5日=1.60；mom5=26.91%；mom20=53.18%；近高比=100.00%,1.6003,0.2691,0.5318,1.0
2026-04-24,8046,6.0,🔥強勢加分,🔥短線加速 + 🚀中期強勢 + 🔺近20日高,mom5=20.72%；mom20=61.85%；近高比=100.00%,0.9463,0.2072,0.6185,1.0
