stock_id,stock_name,industry,action,final_action,strategy_type,bucket,strategy_name,evolution_score,entry_score,score,close,ref_price,evolution_phase,entry_type,section_top_opportunity,top_opportunity,execution_flag,reason,system_note,source,liquidity_level,liquidity_score,volume,turnover,lifecycle_stage,core_score_v319,is_core_v319,strategy_layer,strategy_bucket,action_label,action_sub,v327_lifecycle_role,behavior_hint,behavior_confidence,behavior_action_hint,updated_at,date,name,market,open,high,low,ret1,mom3,mom5,mom10,mom20,mom60,ma5,ma10,ma20,ma60,vol20,vol_ma5,vol_ma20,volume_ratio,vol_dry_ratio,high_20,low_20,high_60,low_60,range_20,ma_max,ma_min,ma_converge_pct,ma20_slope,kd_k,kd_d,kd_cross,macd_diff,macd_signal,macd_hist,macd_cross,obv_proxy,obv_mom5,obv_up_count_3,low_non_down_count_3,obv_up_count_5,low_non_down_count_5,obv_up_count_10,low_non_down_count_10,history_count,has_60d_history,liquidity_tag,note,attack_score_v309,attack_score_v310,attack_score_v312,final_attack_score_v309,final_attack_score_v310,final_attack_score_v312,trend_ok_v310,momentum_ok_v310,breakout_ok_v310,volume_ok_v310,chip_ok_v310,strict_test_ok_v310,watch_ok_v310,hard_reject_v309,hard_reject_v310,hard_reject_v312,hard_reject_v313,hard_block_v313,soft_reject_v313,short_turn_weak_v309,ma_sticky_no_attack_v309,box_middle_v309,liquidity_only_v309,bottom_repair_only_v310,final_sort_score_v309,final_sort_score_v310,final_sort_score_v312,v311_locked_action,priority,opportunity_rank,top_reason,top_rank_v3066,is_top_v3066,engine,continuation_score,continuation_grade,continuation_reason,fake_breakout_risk,fake_breakout_reason,next_day_follow_hint,continuation_patch_version,structure_20_score,structure_40_score,structure_60_score,structure_score,structure_grade,structure_type,structure_reason,structure_market_fit,structure_hint,structure_patch_version,structure_pre_score,structure_pre_grade,structure_pre_type,structure_pre_reason,structure_pre_hint,structure_pre_patch_version,adjusted_signal_score,adjusted_signal_note,structure_rank,continuation_quality_score,continuation_quality_grade,continuation_quality_type,continuation_quality_reason,continuation_quality_hint,continuation_quality_patch_version,adjusted_signal_score_v26657_7,structure_weight_v26657_7,continuation_weight_v26657_7,strategy_bucket_v26657_7,adjusted_signal_note_v26657_7,structure_rank_v26657_7,signal_date,trade_date,layer,price,target_weight,suggest_amount,suggest_shares,priority_grade_v328,priority_rank_v328,final_decision,decision_note,ignition_phase,fake_score,fake_risk_tag,fake_risk_level,fake_flags,fake_reason_zh,ignition_hint_zh,operation_advice_zh,allowed,suggested_amount,opportunity_score,chip_score,chip_label,chip_display,chip_reason,chip_hint,chip_valid_count,chip_missing,chip_confidence,main_force_gate_v302,main_force_score_v302,chip_trace_v302,obv_trace_v302,attack_structure_v302,volume_start_v302,not_overheat_v302,signal_stage_v303,signal_stage_rank_v303,ignition_score_v303,evolution_score_v303,stage_reason_v303,test_rank_score_v304,test_rank_v304,test_top_tag_v304,test_rank_reason_v304,section_opportunity_rank,final_attack_score_final_v309,final_sort_score_final_v309,hard_reject_final_v309,foreign_net_buy,trust_net_buy,dealer_net_buy,inst_net_buy,inst_buy_days,inst_valid,margin_balance_change,short_balance_change,stock_name_chip_src,foreign_net_buy_chip_src,trust_net_buy_chip_src,dealer_net_buy_chip_src,inst_net_buy_chip_src,inst_buy_days_chip_src,inst_valid_chip_src,margin_balance,short_balance,margin_balance_change_chip_src,short_balance_change_chip_src,margin_valid,chip_market,refresh_mode,position_action,position_reason,position_hint,take_profit_hint,risk_flag,avg_price,shares,lots,ma5_status,ma20_status,pnl_pct,price_source,chip_source,position_source,ma10_status,ma5_label,ma10_label,ma20_label,kbar_type,k_structure,kline_structure,tech_reason,kbar_reason,tech_decision_hint,ignition_power_score,ignition_power_grade,ignition_power_type,ignition_power_reason,ignition_power_hint,ignition_power_patch_version,strategy_bucket_v26657_9,structure_weight_v26657_9,continuation_weight_v26657_9,ignition_power_weight_v26657_9,adjusted_signal_score_v26657_9,structure_rank_v26657_9,adjusted_signal_note_v26657_9
2049,上銀,,WATCH,WATCH,CORE,CORE,EVOLUTION 策略進化訊號,112.0,112.0,112.0,392.5,392.5,趨勢確認升級,核心主升追蹤,EVOLUTION_TOP1,🧬TOP1,EVOLUTION_TOP1,v327：通過 CORE 名額制，列為核心主升追蹤。,CORE：由 IGNITION / TEST / EVOLUTION 中少數升級，主倉候選，不是新清單。｜v266.57.9：結構：平台壓縮後轉強，可優先觀察起漲/試單。｜續強：回檔承接尚可，若原策略入選，可優先觀察延續。｜突破：TEST有升級IGNITION條件，可優先觀察隔日延續。,核心主升,HIGH,94.08,11850863.0,4651463727500.0,🟣 CORE,56.8,1,🟣 CORE｜核心主升,🟣 CORE｜主升核心,試單,ATTACK：新強勢攻擊池，小倉試單，觀察是否續強升 CORE。,CORE,⚪ 盤整觀望（等待方向）,中低,先觀察，不急進場；等突破、量能或均線方向出現。,2026-05-17 23:02:37,2026-05-15,上銀,TWSE,381.5,399.0,378.0,0.0480640854472629,0.0680272108843538,0.2284820031298904,0.256,0.4068100358422939,0.7139737991266375,370.0,344.25,322.65,266.1333333333333,0.0297746234303786,11666847.4,9502005.2,1.247196012900519,1.2278300373904236,399.0,280.5,399.0,211.0,0.3019108280247085,370.0,322.65,0.1206369426748519,0.0880121396051659,88.25123310699561,83.12091244684476,0,29.301184111208897,23.37752418972959,5.923659921479306,0,642151327.0,0.0617213373462277,2.0,2.0,4.0,4.0,8.0,7.0,2761,True,高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,135.0,135.0,135.0,135.0,135.0,135.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,128.8,128.8,128.8,TEST,1,3.0,v313觀察TOP｜準攻擊但未達試單,9999,0,ALPHA,6.0,中,5日高點墊高、5日低點未破、MA5站上MA10、收盤站上MA20、5日動能為正、10日動能為正,中,乖離MA20過大,🟡 有轉強但仍需確認：隔日看量價是否延續，不追高。,v266.57.2,9.0,6.0,10.0,8.6,強,60D長底翻多,20D:站上MA20、MA5>=MA10、接近20日高、20D量能溫和回升、10D動能轉正｜40D:站回平台成本、低點未再破、40D量能回溫、MA20走平翻揚｜60D:接近/站回MA60、MA20接近MA60、站回60D區間中上、60D低點守住、60D動能不再惡化、60D量能溫和回補,盤整盤：偏重40D平台整理｜總經偏多：結構分數小幅加權,偏長底翻多：適合CORE早期卡位，小倉觀察放量確認。,v266.57.5.1,11.6,A,起漲結構強,20D站上MA20｜MA20走平翻揚｜MA5站上MA10｜接近20日高｜40D低點守住｜接近/站回MA60｜MA60不再下彎｜站回60D區間中上｜量縮後溫和放量｜5D動能轉正｜10D動能轉正,平台壓縮後轉強，可優先觀察起漲/試單。,v266.57.9,108.06,原分數欄位:entry_score｜結構前置加權僅供排序觀察，不覆蓋原策略,74.0,7.7,A,續強品質強,回檔不破前低｜低點墊高確認｜收盤守MA5｜續強確認：收盤未跌破MA5｜MA5仍在MA10上｜仍站MA20｜10D動能維持｜扣分:接近20日高且短線過熱,回檔承接尚可，若原策略入選，可優先觀察延續。,v266.57.9,112.335,0.35,0.75,ALPHA,測試排序分=原分數+結構前置分*策略權重+續強品質*策略權重；不覆蓋原策略,75.0,2026-05-15,2026-05-18,主力動能,392.89,0.005,5000.0,13.0,,,,,,,,,,,,,False,,150.13,85.0,🔥 高度集中,85（🔥 高度集中）,三大法人買超｜投信買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,1,130,1,1,1,1,1,EVOLUTION,1.0,236,296,IGNITION升級：主升前夕｜籌碼續強＋量價延續,,,,,,,,,1202005.0,57724.0,100287.0,1360016.0,1.0,1,0.0,0.0,上銀,1202005.0,57724.0,100287.0,1360016.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。,6.2,A,突破品質強,紅K實體放大｜量能較前日放大｜突破近5日高｜MA5加速上彎｜短均多頭,TEST有升級IGNITION條件，可優先觀察隔日延續。,v266.57.9,EVOLUTION,0.65,0.85,0.45,128.875,2.0,最後後處理補寫：原分數+結構前置+續強品質+突破品質；不覆蓋原策略
2356,英業達,,WATCH,WATCH,CORE,CORE,EVOLUTION 策略進化訊號,112.0,112.0,112.0,52.2,52.2,趨勢確認升級,核心主升追蹤,EVOLUTION_TOP2,🧬TOP2,EVOLUTION_TOP2,v327：通過 CORE 名額制，列為核心主升追蹤。,CORE：由 IGNITION / TEST / EVOLUTION 中少數升級，主倉候選，不是新清單。｜v266.57.9：結構：平台壓縮後轉強，可優先觀察起漲/試單。｜續強：回檔承接尚可，若原策略入選，可優先觀察延續。｜突破：尚未形成乾淨突破，不急著升級。,核心主升,HIGH,96.29,51211242.0,2673226832400.0,🟣 CORE,56.8,1,🟣 CORE｜核心主升,🟣 CORE｜主升核心,觀察,WATCH：有結構但未發動，等確認。,CORE,⚪ 盤整觀望（等待方向）,中低,先觀察，不急進場；等突破、量能或均線方向出現。,2026-05-17 23:02:37,2026-05-15,英業達,TWSE,54.4,55.3,51.9,-0.018796992481203,0.0718685831622176,0.053481331987891,0.1372549019607845,0.1600000000000001,0.1850170466310161,51.42,49.925,48.31749973297119,44.88916645050049,0.0276908323419366,66028323.8,39820662.75,1.286046953098489,1.6581422618336503,55.3,44.95000076293945,55.3,38.54999923706055,0.1982758474494687,51.42,48.31749973297119,0.0594348710147389,0.0366893767827092,75.52188691501357,72.94426527583016,0,1.9963067559300145,1.5458079596980536,0.4504987962319606,0,4202813470.0,0.0420763201084739,2.0,3.0,3.0,4.0,7.0,9.0,2761,True,高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,131.0,131.0,131.0,131.0,131.0,131.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,128.4,128.4,128.4,WATCH,2,,,9999,0,ALPHA,5.0,中,5日高點墊高、5日低點未破、MA5站上MA10、收盤站上MA20、5日動能為正、10日動能為正,中,收黑K、創高後收弱,🟡 有轉強但仍需確認：隔日看量價是否延續，不追高。,v266.57.2,8.0,10.0,10.0,9.9,強,40D平台整理,20D:站上MA20、MA5>=MA10、20D量能溫和回升、10D動能轉正、未嚴重乖離MA20｜40D:40D區間收斂、均線糾結、站回平台成本、低點未再破、40D量能回溫、MA20走平翻揚｜60D:接近/站回MA60、MA20接近MA60、站回60D區間中上、60D低點守住、60D動能不再惡化、60D量能溫和回補,盤整盤：偏重40D平台整理｜總經偏多：結構分數小幅加權,偏平台整理後轉強：觀察是否從WATCH/TEST升級。,v266.57.5.1,12.0,A,起漲結構強,20D站上MA20｜MA20走平翻揚｜MA5站上MA10｜40D平台收斂｜短中均線糾結｜40D低點守住｜接近/站回MA60｜MA60不再下彎｜站回60D區間中上｜量縮後溫和放量｜5D動能轉正｜10D動能轉正,平台壓縮後轉強，可優先觀察起漲/試單。,v266.57.9,122.2,原分數欄位:entry_score｜結構前置加權僅供排序觀察，不覆蓋原策略,10.0,8.7,A,續強品質強,回檔不破前低｜低點墊高確認｜收盤守MA5｜續強確認：收盤未跌破MA5｜MA5仍在MA10上｜仍站MA20｜10D動能維持,回檔承接尚可，若原策略入選，可優先觀察延續。,v266.57.9,127.225,0.35,0.75,ALPHA,測試排序分=原分數+結構前置分*策略權重+續強品質*策略權重；不覆蓋原策略,10.0,2026-05-15,2026-05-18,主力動能,52.25,0.01,10000.0,191.0,,,,,,,,,,,,,False,,153.32,65.0,🟢 偏集中,65（🟢 偏集中）,三大法人買超｜投信賣超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,1,120,1,1,1,1,1,EVOLUTION,,216,266,IGNITION升級：主升前夕｜籌碼續強＋量價延續,,,,,,,,,3367540.0,-792000.0,256227.0,2831767.0,1.0,1,0.0,0.0,英業達,3367540.0,-792000.0,256227.0,2831767.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。,-0.2,D,突破不足,短均多頭｜扣分:收盤位置偏弱,尚未形成乾淨突破，不急著升級。,v266.57.9,EVOLUTION,0.65,0.85,0.45,127.105,5.0,最後後處理補寫：原分數+結構前置+續強品質+突破品質；不覆蓋原策略
2359,所羅門,,WATCH,WATCH,CORE,CORE,EVOLUTION 策略進化訊號,112.0,112.0,112.0,135.0,135.0,趨勢確認升級,核心主升追蹤,EVOLUTION_TOP3,🧬TOP3,EVOLUTION_TOP3,v327：通過 CORE 名額制，列為核心主升追蹤。,CORE：由 IGNITION / TEST / EVOLUTION 中少數升級，主倉候選，不是新清單。｜v266.57.9：結構：平台壓縮後轉強，可優先觀察起漲/試單。｜續強：回檔承接尚可，若原策略入選，可優先觀察延續。｜突破：突破品質尚可，可列入試單後續確認。,核心主升,HIGH,90.93,10519281.0,1420102935000.0,🟣 CORE,56.8,1,🟣 CORE｜核心主升,🟣 CORE｜主升核心,試單,ATTACK：新強勢攻擊池，小倉試單，觀察是否續強升 CORE。,CORE,⚪ 盤整觀望（等待方向）,中低,先觀察，不急進場；等突破、量能或均線方向出現。,2026-05-17 23:02:37,2026-05-15,所羅門,TWSE,124.5,135.0,124.5,0.0975609756097561,0.0546875,0.1297071129707112,0.134453781512605,0.1739130434782609,0.0714285714285714,126.7,124.45,119.425,118.25833333333334,0.0365858988699705,4444932.2,2963891.85,3.5491446828601374,1.4996944642227747,135.0,105.0,135.0,105.0,0.2222222222205761,126.7,119.425,0.0538888888884897,0.029747790471828,73.62345866566673,69.13343865786734,1,3.3893644204508178,1.9825158283934623,1.4068485920573557,0,1535060095.0,0.0067444337354494,1.0,3.0,3.0,5.0,4.0,8.0,2761,True,高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,144.0,144.0,144.0,144.0,144.0,144.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,139.6,139.6,139.6,TEST,1,7.0,🟣 PRIORITY B7｜主升觀察：紫框強度排序 TOP7，先觀察不重倉。,9999,0,ALPHA,7.0,強,5日高點墊高、5日低點未破、MA5站上MA10、收盤站上MA20、5日動能為正、10日動能為正、量能高於近期中位,中,單日爆量過大,🟡 有轉強但仍需確認：隔日看量價是否延續，不追高。,v266.57.2,8.0,9.0,9.0,9.2,強,40D平台整理,20D:站上MA20、MA5>=MA10、接近20日高、10D動能轉正、未嚴重乖離MA20｜40D:40D區間收斂、均線糾結、站回平台成本、低點未再破、MA20走平翻揚｜60D:接近/站回MA60、MA20接近MA60、站回60D區間中上、60D低點守住、60D動能不再惡化,盤整盤：偏重40D平台整理｜總經偏多：結構分數小幅加權,偏平台整理後轉強：觀察是否從WATCH/TEST升級。,v266.57.5.1,10.1,A,起漲結構強,20D站上MA20｜MA20走平翻揚｜MA5站上MA10｜接近20日高｜40D平台收斂｜短中均線糾結｜40D低點守住｜接近/站回MA60｜站回60D區間中上｜5D動能轉正｜10D動能轉正｜扣分:單日爆量偏高,平台壓縮後轉強，可優先觀察起漲/試單。,v266.57.9,125.535,原分數欄位:entry_score｜結構前置加權僅供排序觀察，不覆蓋原策略,9.0,7.7,A,續強品質強,回檔不破前低｜低點墊高確認｜收盤守MA5｜續強確認：收盤未跌破MA5｜MA5仍在MA10上｜仍站MA20｜10D動能維持｜扣分:接近20日高且短線過熱,回檔承接尚可，若原策略入選，可優先觀察延續。,v266.57.9,129.81,0.35,0.75,ALPHA,測試排序分=原分數+結構前置分*策略權重+續強品質*策略權重；不覆蓋原策略,9.0,2026-05-15,2026-05-18,🟣 PRIORITY｜主升操作池 B,0.0,0.0,0.0,0.0,B,7.0,,,,,,,,,,,False,,124.83,75.0,🟢 偏集中,75（🟢 偏集中）,三大法人買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,1,120,1,1,1,1,1,EVOLUTION,,216,276,IGNITION升級：主升前夕｜籌碼續強＋量價延續,,,,,,,,,885050.0,0.0,26359.0,911409.0,1.0,1,0.0,0.0,,885050.0,0.0,26359.0,911409.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。,5.5,B,突破品質中,紅K實體放大｜收盤接近高點｜突破近5日高｜MA5加速上彎｜短均多頭｜扣分:單日量能過猛,突破品質尚可，可列入試單後續確認。,v266.57.9,EVOLUTION,0.65,0.85,0.45,127.585,4.0,最後後處理補寫：原分數+結構前置+續強品質+突破品質；不覆蓋原策略
2374,佳能,,WATCH,WATCH,CORE,CORE,EVOLUTION 策略進化訊號,112.0,112.0,112.0,82.2,82.2,趨勢確認升級,核心主升追蹤,EVOLUTION_TOP4,🧬TOP4,EVOLUTION_TOP4,v327：通過 CORE 名額制，列為核心主升追蹤。,CORE：由 IGNITION / TEST / EVOLUTION 中少數升級，主倉候選，不是新清單。｜v266.57.9：結構：平台壓縮後轉強，可優先觀察起漲/試單。｜續強：回檔承接尚可，若原策略入選，可優先觀察延續。｜突破：尚未形成乾淨突破，不急著升級。,核心主升,HIGH,95.65,33320185.0,2738919207000.0,🟣 CORE,56.8,1,🟣 CORE｜核心主升,🟣 CORE｜主升核心,觀察,WATCH：有結構但未發動，等確認。,CORE,⚪ 盤整觀望（等待方向）,中低,先觀察，不急進場；等突破、量能或均線方向出現。,2026-05-17 23:02:37,2026-05-15,佳能,TWSE,81.7,85.5,81.2,0.0236612702366127,-0.0024271844660194,0.0471337579617834,0.0484693877551019,0.1385042032470789,0.0275,81.06,80.57000000000001,77.0450005340576,74.08500000000001,0.0274987883778358,16007201.0,12528720.15,2.6595042910268845,1.2776405577228889,85.5,70.0,85.5,64.9000015258789,0.1885644768833508,81.06,77.0450005340576,0.0488442757407974,0.0324288094322363,62.6216907024145,66.83484577472076,0,2.4228499223181217,2.012986055035391,0.4098638672827306,0,2955189779.0,0.0194369486891474,2.0,3.0,4.0,5.0,6.0,8.0,2761,True,高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,131.0,131.0,131.0,131.0,131.0,131.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.2,127.2,127.2,WATCH,2,,,9999,0,ALPHA,6.0,中,5日高點墊高、5日低點未破、MA5站上MA10、收盤站上MA20、5日動能為正、10日動能為正、量能高於近期中位,中,長上影壓力、實體過小猶豫K,🟡 有轉強但仍需確認：隔日看量價是否延續，不追高。,v266.57.2,7.0,8.5,8.7,8.61,強,60D長底翻多,20D:站上MA20、MA5>=MA10、接近20日高、10D動能轉正、未嚴重乖離MA20｜40D:40D區間收斂、均線糾結、站回平台成本、低點未再破、MA20走平翻揚｜60D:接近/站回MA60、MA20接近MA60、站回60D區間中上、60D低點守住、60D動能不再惡化｜過熱扣分:長上影壓力,盤整盤：偏重40D平台整理｜總經偏多：結構分數小幅加權,偏長底翻多：適合CORE早期卡位，小倉觀察放量確認。,v266.57.5.1,10.6,A,起漲結構強,20D站上MA20｜MA20走平翻揚｜MA5站上MA10｜接近20日高｜40D平台收斂｜短中均線糾結｜40D低點守住｜接近/站回MA60｜站回60D區間中上｜5D動能轉正｜10D動能轉正｜扣分:長上影壓力,平台壓縮後轉強，可優先觀察起漲/試單。,v266.57.9,115.36,原分數欄位:entry_score｜結構前置加權僅供排序觀察，不覆蓋原策略,52.0,7.7,A,續強品質強,回檔不破前低｜低點墊高確認｜收盤守MA5｜續強確認：收盤未跌破MA5｜MA5仍在MA10上｜仍站MA20｜10D動能維持｜扣分:長上影壓力,回檔承接尚可，若原策略入選，可優先觀察延續。,v266.57.9,119.26,0.35,0.75,ALPHA,測試排序分=原分數+結構前置分*策略權重+續強品質*策略權重；不覆蓋原策略,51.0,2026-05-15,2026-05-18,主力動能,82.28,0.01,10000.0,122.0,,,,,,,,,,,,,False,,152.44,75.0,🟢 偏集中,75（🟢 偏集中）,三大法人買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,1,120,1,1,1,1,1,EVOLUTION,,216,266,IGNITION升級：主升前夕｜籌碼續強＋量價延續,,,,,,,,,3670904.0,0.0,203168.0,3874072.0,1.0,1,0.0,0.0,佳能,3670904.0,0.0,203168.0,3874072.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。,1.0,D,突破不足,量能較前日放大｜MA5加速上彎｜短均多頭｜扣分:收盤位置偏弱、上影偏長,尚未形成乾淨突破，不急著升級。,v266.57.9,EVOLUTION,0.65,0.85,0.45,125.885,9.0,最後後處理補寫：原分數+結構前置+續強品質+突破品質；不覆蓋原策略
2380,虹光,,WATCH,WATCH,EVOLUTION,EVOLUTION,EVOLUTION 策略進化訊號,112.0,112.0,112.0,6.4,6.4,趨勢確認升級,趨勢確認升級,EVOLUTION_TOP5,🧬TOP5,EVOLUTION_TOP5,v327：強勢確認 / 續強升級 / 觀察是否進入核心主升。,EVOLUTION：趨勢確認層，可銜接 CORE，但不自動加碼。｜v266.57.9：結構：平台壓縮後轉強，可優先觀察起漲/試單。｜續強：回檔承接尚可，若原策略入選，可優先觀察延續。｜突破：有轉強跡象，但突破品質尚未完全成立。,策略進場,HIGH,52.37,1452221.0,9294214400.0,,36.8,0,🧬 EVOLUTION｜趨勢確認,🧬 EVOLUTION｜策略進化,試單,ATTACK：新強勢攻擊池，小倉試單，觀察是否續強升 CORE。,EVOLUTION,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-17 23:02:37,2026-05-15,虹光,TWSE,6.4,6.44,6.34,0.0921501706484642,0.1015490533562823,0.142857142857143,0.1387900355871887,0.1829944880795995,0.2903225707213912,5.948,5.914,5.555500002861023,5.546166673024496,0.040584628852193,519112.2,402108.1,3.611518892556496,1.2909767298892978,6.44,4.99,7.329999923706055,4.639999866485596,0.2265624999645996,5.948,5.555500002861023,0.0613281245433825,0.0319494779676415,74.65202410906653,67.77976115101204,1,0.151275702455198,0.0731035889929682,0.0781721134622298,0,162171098.0,0.0091676193290937,2.0,2.0,3.0,4.0,4.0,6.0,2761,True,高流動性,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,138.0,138.0,138.0,138.0,138.0,138.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,132.8,132.8,132.8,TEST,1,,,9999,0,ALPHA,6.0,中,5日高點墊高、5日低點未破、MA5站上MA10、收盤站上MA20、5日動能為正、10日動能為正、量能高於近期中位,中,單日爆量過大、實體過小猶豫K,🟡 有轉強但仍需確認：隔日看量價是否延續，不追高。,v266.57.2,7.0,7.0,9.0,8.1,強,60D長底翻多,20D:站上MA20、MA5>=MA10、接近20日高、10D動能轉正｜40D:均線糾結、站回平台成本、低點未再破、MA20走平翻揚｜60D:接近/站回MA60、MA20接近MA60、站回60D區間中上、60D低點守住、60D動能不再惡化,盤整盤：偏重40D平台整理｜總經偏多：結構分數小幅加權,偏長底翻多：適合CORE早期卡位，小倉觀察放量確認。,v266.57.5.1,9.6,A,起漲結構強,20D站上MA20｜MA20走平翻揚｜MA5站上MA10｜接近20日高｜短中均線糾結｜40D低點守住｜接近/站回MA60｜MA60不再下彎｜站回60D區間中上｜5D動能轉正｜10D動能轉正｜扣分:單日爆量偏高,平台壓縮後轉強，可優先觀察起漲/試單。,v266.57.9,115.36,原分數欄位:entry_score｜結構前置加權僅供排序觀察，不覆蓋原策略,52.0,7.7,A,續強品質強,回檔不破前低｜低點墊高確認｜收盤守MA5｜續強確認：收盤未跌破MA5｜MA5仍在MA10上｜仍站MA20｜10D動能維持｜扣分:接近20日高且短線過熱,回檔承接尚可，若原策略入選，可優先觀察延續。,v266.57.9,119.635,0.35,0.75,ALPHA,測試排序分=原分數+結構前置分*策略權重+續強品質*策略權重；不覆蓋原策略,45.0,2026-05-15,2026-05-18,,,0.0,,,,,,,,,,,,,,,False,0.0,103.04,50.0,🟡 普通,50（🟡 普通）,法人無明顯交易或當日未揭露｜融資融券資料有限,籌碼普通或資料有限，需搭配技術面確認。,0,法人/融資資料有限,📉 低信心,0,62,0,1,1,1,1,,,126,176,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,,behavior_interpretation,,,,,,,,,MA5：站上｜↑ 強勢,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：站上｜↑ 強勢,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：站上｜↑ 強勢｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。,3.5,C,突破觀察,突破近5日高｜MA5加速上彎｜短均多頭,有轉強跡象，但突破品質尚未完全成立。,v266.57.9,EVOLUTION,0.65,0.85,0.45,126.36,7.0,最後後處理補寫：原分數+結構前置+續強品質+突破品質；不覆蓋原策略
